"snack_name","english_name","category","main_ingredients","nutritional_value","efficacy","suitable_for","feeding_frequency","suitable_stage","caution","notes"
"主食罐","Complete Canned Food","罐头","肉类、内脏、维生素矿物质(全价营养)","粗蛋白≥8%、含水分约75-80%、营养均衡全面","可作主粮、补充水分、适口性佳","猫狗通用","按体重替代主粮","全阶段","开封后冷藏3日内用完；切换需过渡7天避免腹泻","符合AAFCO全价营养标准"
"副食罐","Complementary Canned Food","罐头","肉类、内脏、少量添加剂","高蛋白、水分高、营养不全价","拌粮提味、补水、奖励","猫狗通用","每周2-4次","全阶段","不可长期作唯一主粮避免营养失衡；高盐款猫慎用","需搭配主粮保证营养均衡"
"肉泥包","Meat Puree Pouch","罐头","肉泥、水、增稠剂","蛋白质≥8%、高水分","补水、奖励、适口性极佳","猫狗通用","每周2-3次","全阶段(幼宠选专用款)","含胶体长期喂食增加肠胃负担；开封即食","挤压即食方便互动"
"啾噜","Churu / Lickable Treat","罐头","肉泥、水、鱼油、牛磺酸","蛋白质≥8%、高水分、含牛磺酸0.3%","补水、护眼、增进感情、喂药辅助","猫","每周2-3支","全阶段(幼猫选专用款)","高频喂食易挑食；糖尿病猫慎用","挤条喂食互动性强；可作喂药神器"
"冻干蛋黄","Freeze-dried Egg Yolk","冻干","鸡蛋黄","富含卵磷脂(≥12%)、胆固醇、维生素A/D","美毛护肤、补充卵磷脂","猫狗通用","每周2-3次","全阶段","胆固醇高需控量；不可替代主粮；肾脏病宠物慎用","卵磷脂有助于毛发亮泽"
"冻干草莓","Freeze-dried Strawberry","冻干","草莓","富含维生素C、花青素、膳食纤维","抗氧化、补充维生素、解馋","猫狗通用","每周1-2次","全阶段","糖分较高需控量；肠胃敏感宠物少量尝试","口感酥脆适口性好"
"冻干南瓜","Freeze-dried Pumpkin","冻干","南瓜","富含β-胡萝卜素、果胶、膳食纤维","促进肠道蠕动、护眼、助消化","猫狗通用","每周2-3次","全阶段","腹泻时少量喂食有助成形；便秘时增加水分","果胶有助于肠道健康"
"冻干青口贝","Freeze-dried Green-lipped Mussel","冻干","青口贝","富含Omega-3、糖胺聚糖、锌","关节护理、抗炎、美毛","猫狗通用","每日1-2颗(小型)或每周2-3次","成年","海鲜过敏宠物禁用；甲壳类需去壳","天然关节营养来源含GAG"
"化毛膏","Hairball Remedy Paste","功能性","矿物油或麦芽膏、油脂、维生素","主要为油脂、含少量维生素","润滑肠道促进毛球排出","猫","每周2-3次(换毛季增加)","成年(幼猫慎用)","不可与脂溶性维生素同服影响吸收；过量致腹泻","长毛猫换毛季必备"
"营养膏","Nutritional Paste","功能性","糖浆、油脂、维生素、矿物质、牛磺酸","含多种维生素与矿物质、高热量","术后恢复、补充营养、增肥","猫狗通用","每日2-3cm(按体重)","全阶段","糖尿病宠物禁用；肥胖宠物慎用","适口性极佳适合病后调理"
"美毛零食","Beauty Coat Treat","功能性","鱼肉、蛋黄、卵磷脂、Omega-3","富含Omega-3与卵磷脂","改善毛发光泽、减少掉毛","猫狗通用","每日1-2粒","成年","需持续喂食4-8周见效；过敏体质注意鱼源","深海鱼油款效果更佳"
"关节护理零食","Joint Care Treat","功能性","肉类、软骨素、葡萄糖胺、绿唇贻贝","含葡萄糖胺与软骨素","保护关节、缓解关节炎","狗(猫少见)","每日1-2粒","老年及大型犬","肝肾疾病宠物需兽医评估；术后宠物遵医嘱","适合金毛、拉布拉多等易关节问题犬种"
"益生菌零食","Probiotic Treat","功能性","肉类、益生菌、益生元","含活性益生菌与益生元","调节肠道菌群、改善软便","猫狗通用","每日1-2粒","全阶段","与抗生素间隔2小时以上；开封后冷藏","选择标注活菌数(CFU)产品"
"钙奶棒","Calcium Milk Bone","功能性","面粉、奶粉、钙、维生素D","含钙与维生素D、碳水化合物","补钙、磨牙洁齿","狗","每周2-3根","全阶段(幼犬专用款)","乳糖不耐受犬慎用；勿过量致高钙血症","幼犬换牙期适用"
"猫草","Cat Grass","猫草","小麦或燕麦种子","富含膳食纤维、叶绿素、维生素","帮助吐毛球、补充纤维、缓解压力","猫","每周1-2次","成年(幼猫慎)","猫咪食用后呕吐毛球属正常；避免施农药的草","家庭可自种小麦草"
"猫薄荷","Catnip","猫草","荆芥(含荆芥内酯)","含挥发性荆芥内酯","引起短暂兴奋愉悦、缓解压力、互动","猫","每周1-2次","成年(6月龄以上)","约30%猫无反应；怀孕母猫禁用；不可过量致腹泻","效果持续约10分钟属正常"
"木天蓼","Silver Vine","猫草","木天蓼(含猕猴桃碱)","含猕猴桃碱与木香烯内酯","强效吸引猫、舒缓情绪、磨牙","猫","每周1-2次","成年(6月龄以上)","效果较猫薄荷更强；过量兴奋需控制频次","粉剂或枝条两种形式"
"火腿肠","Pet Ham Sausage","其他","肉泥、淀粉、水分","蛋白质≥8%、含水分与脂肪","训练奖励、解馋、喂药","猫狗通用","每周2-3段","全阶段","人用火腿肠含盐高不可喂宠物；选宠物专用款","开封即食不宜久存"
"果冻布丁","Jelly Pudding","其他","水、胶体、肉汁、少量肉","高水分、低蛋白","补水、解馋、互动","猫狗通用","每周1-2次","全阶段(幼宠慎)","胶体过多影响消化；糖尿病宠物禁用","适口性佳但营养密度低"
"奶酪棒","Cheese Stick","其他","奶酪、奶粉、明胶","高钙、高蛋白、含脂肪","补钙、解馋、磨牙","猫狗通用","每周2-3次","全阶段","乳糖不耐受宠物慎用；高盐款不宜多喂","选择低盐天然奶酪款"
"冻干鸡肝","Freeze-dried Chicken Liver","冻干","鸡肝","富含维生素A、B12、铁、叶酸","补血、补充维生素A、诱食","猫狗通用","每周1-2次","全阶段","维生素A过量中毒需控量；不可每日大量喂食","适口性极佳可作喂药奖励"
"冻干鸡心","Freeze-dried Chicken Heart","冻干","鸡心","富含牛磺酸、辅酶Q10、蛋白质","保护心肌、补充牛磺酸","猫狗通用","每周2-3次","全阶段","胆固醇较高需控量；猫必需牛磺酸来源","牛磺酸对猫眼心健康重要"
"鸭脖","Duck Neck","肉干","鸭脖带骨","高蛋白、含钙磷、软骨","磨牙洁齿、补钙、消磨时间","狗","每周1-2根","成年(大型犬)","生食需冷冻杀菌；熟食需煮透；小型犬需监督避免吞骨","适合中大型犬耐咬"
"冻干三文鱼","Freeze-dried Salmon","冻干","三文鱼肉","富含Omega-3、优质蛋白、维生素D","美毛、抗炎、护心","猫狗通用","每周2-3次","全阶段","选择去刺款避免卡喉；易氧化需密封","复水后可作高汤补水"
"冻干鹌鹑蛋","Freeze-dried Quail Egg","冻干","鹌鹑蛋黄","富含卵磷脂、胆固醇、维生素","美毛、补充卵磷脂","猫狗通用","每周2-3颗","全阶段","胆固醇高需控量；肾脏病宠物慎用","体型小巧适合猫与小型犬"
"鳕鱼干","Cod Fish Jerky","肉干","鳕鱼肉","高蛋白、低脂、富含Omega-3与维生素D","美毛、补钙、低脂高蛋白","猫狗通用","每周2-3次","全阶段","选择去骨款避免鱼刺；盐分需关注","低脂适合肥胖与老年宠物"
"冻干蔓越莓","Freeze-dried Cranberry","冻干","蔓越莓","富含原花青素、维生素C、膳食纤维","维护泌尿系统健康、抗氧化","猫狗通用","每周1-2次","全阶段","糖分较高需控量；泌尿问题需就医不可只靠零食","原花青素抑制细菌黏附尿道"
"冻干胡萝卜","Freeze-dried Carrot","冻干","胡萝卜","富含β-胡萝卜素、维生素A、膳食纤维","护眼、促进消化、低热量","猫狗通用","每周2-3次","全阶段","糖分中等需控量；切碎喂食避免噎呛","适合作为低热量解馋零食"
"鸡肉绕薯条","Chicken Wrapped Sweet Potato","肉干","鸡胸肉、红薯","蛋白质、膳食纤维、β-胡萝卜素","洁牙磨牙、补充纤维与蛋白","狗","每周2-3根","全阶段","淀粉较高肥胖犬减量；硬度过高小型犬慎用","口感丰富适口性佳"
"冻干鸭肝","Freeze-dried Duck Liver","冻干","鸭肝","富含维生素A、B族、铁、蛋白质","补血、补充维生素、诱食","猫狗通用","每周1-2次","全阶段","维生素A过量中毒需控量；不可每日大量喂食","对鸡源过敏宠物的替代内脏"
"冻干青口贝(整只)","Freeze-dried Whole Green-lipped Mussel","冻干","青口贝整只","富含Omega-3、糖胺聚糖、锌","关节护理、抗炎、美毛","猫狗通用","每周2-3次","成年","海鲜过敏宠物禁用；整只带壳需监督","天然关节保健零食"
