"defect_name","english_name","category","affected_breeds","cause","onset_age","symptom","diagnosis","prevention","treatment","severity","screening_advice","notes"
"进行性视网膜萎缩(PRA-b)","Progressive Retinal Atrophy (PRA-b)","眼科","孟加拉豹猫","常染色体隐性遗传；Bengal PRA-b基因突变","幼年期(数月龄)开始","早期夜盲；瞳孔散大；视力渐进性丧失；3-5岁完全失明","眼底镜；ERG；基因检测PRA-b","基因检测剔除携带者","无治愈手段；环境适应","中度","基因检测PRA-b；年度眼科检查","孟加拉豹猫特有突变"
"肾淀粉样变性","Renal Amyloidosis","肾脏","阿比西尼亚猫；暹罗猫；东方短毛猫","遗传性倾向；异常淀粉样蛋白沉积于肾脏；机制尚不完全明确","1-5岁","多饮多尿；体重减轻；食欲差；呕吐；嗜睡；被毛粗乱；渐进性肾衰","血液生化(肌酐、SDMA)；肾活检；组织病理学","选择健康血统；避免近亲繁殖","支持性治疗；肾脏处方粮；补液；磷结合剂；降压","重度","定期肾功能监测(SDMA)；血统调查","阿比西尼亚猫高发；预后较差"
"丙酮酸激酶缺乏症(猫)","Pyruvate Kinase Deficiency (PK Def)","血液","阿比西尼亚猫；索马里猫；孟加拉豹猫；缅因猫；挪威森林猫；西伯利亚猫；埃及猫；新加坡猫","常染色体隐性遗传；PKLR基因突变；红细胞能量代谢缺陷导致溶血","数月龄-5岁","嗜睡；虚弱；运动不耐受；黏膜苍白；黄疸；肝脾肿大；间歇性溶血发作","CBC；网织红细胞计数；PK酶活性测定；基因检测PKLR","基因检测剔除携带者；避免携带者交配","支持治疗；输血(严重贫血)；脾切除；铁剂/叶酸","中度","基因检测PKLR；定期CBC监测","阿比西尼亚猫携带率高；间歇性发病"
"牙周病/颌骨狭窄相关","Periodontal Disease (narrow jaw)","消化","东方短毛猫；暹罗猫","颌骨结构遗传性狭窄；牙齿拥挤易形成牙周袋","幼年期开始","牙龈炎；口臭；牙结石；牙齿松动；进食困难；流口水","口腔检查；牙齿X光","定期刷牙；洁牙；选择颌骨较宽个体","定期专业洁牙；拔除严重患牙；抗生素控制感染","轻度","年度口腔检查；日常刷牙","瘦长脸型品种普遍倾向"
"Manx综合征","Manx Syndrome","神经","曼岛猫","常染色体显性遗传；M基因突变导致尾椎及脊髓末端发育异常；纯合子致死","出生即表现","无尾或短尾；兔跳步态；后肢无力；跳跃困难；排尿排便控制障碍；尾部感觉减退","X光评估脊柱；MRI评估脊髓；神经学检查","避免无尾猫之间交配；选择有部分尾巴的个体繁育","支持性护理；环境调整；排泄辅助；镇痛","重度","种猫X光筛查脊柱；避免极端无尾繁育","纯合子胎儿期致死；只有杂合子能存活出生"
"难产/骨盆狭窄","Dystocia due to narrow pelvis","其他","新加坡猫","遗传性骨盆狭窄；体型小","成年繁殖期","难产；产程延长；需剖腹产","骨盆X光测量；繁殖史","选择骨盆正常的母猫；预备剖腹产","剖腹产","中度","繁殖前骨盆X光评估","体型最小猫种；建议剖腹产备产"
"色素性荨麻疹/皮肤脂溢","Urticaria Pigmentosa / Seborrhea","皮肤","斯芬克斯无毛猫","HR基因隐性突变导致无毛；皮肤结构异常易患炎症","幼年期开始","皮肤红斑；瘙痒性丘疹；皮肤油腻；黑头粉刺；继发感染","皮肤活检；细胞学检查","定期洗澡(每周1-2次)；保湿；防晒","药浴；抗菌药物；激素药膏；必需脂肪酸补充","轻度","定期皮肤检查；日常清洁","无毛基因副作用；需终身皮肤管理"
"肝醣储积症IV型","Glycogen Storage Disease Type IV (GSD IV)","代谢","挪威森林猫","常染色体隐性遗传；GBE1基因突变导致糖原分支酶缺乏","出生后即发病；多数5月龄前死亡或安乐死","出生后生长停滞；肌肉无力；震颤；发热；心脏受累；多在幼年期死亡","基因检测GBE1；肝活检糖原分析","基因检测剔除携带者","无特效治疗；支持护理；多数安乐死","致死性","基因检测GBE1；种猫筛查","挪威森林猫特有；致死性疾病"
"软骨发育不全/矮脚","Chondrodysplasia (controversial)","骨骼","曼基康矮脚猫；巴比诺猫","常染色体显性遗传；类似软骨发育不全的基因突变(争议)","出生即表现","短肢；前肢更易畸形；早期关节炎风险","X光评估骨骼；四肢检查","避免短脚猫之间交配(纯合子可能致死)","关节保健品；控制体重；NSAIDs(出现关节炎时)","中度","四肢X光评估；年度关节检查","争议性；部分研究认为短腿本身不显著影响寿命"
"扁脸眼部问题","Brachycephalic Ophthalmic Issues","眼科","波斯猫；异国短毛猫；喜马拉雅猫","面部结构扁平；眼眶浅；眼球突出","出生即存在","眼球突出；角膜暴露；慢性角膜溃疡；眼睑内翻/外翻","眼科检查；荧光素染色","选择面部结构较正常个体；眼药水保护角膜","眼药水；眼睑手术矫正；保护角膜","中度","年度眼科检查；日常眼部护理","与扁脸结构直接相关"
"血管肉瘤","Hemangiosarcoma","其他","金毛寻回犬；德牧；拉布拉多；大丹犬","遗传倾向；血管内皮细胞恶性肿瘤；脾脏/心脏/肝脏高发","中老年(8-13岁)","突然虚弱；腹部膨胀；牙龈苍白；呼吸急促；急性虚脱；内出血","腹部超声；CT/MRI；细针穿刺；血液检查","无明确预防；避免致癌因素","手术切除；化疗(多柔比星)；靶向治疗；支持治疗","致死性","年度腹部超声(老年犬)；心脏超声","金毛最易患；预后差中位生存期数月"
"肘关节发育不良","Elbow Dysplasia","骨骼","金毛寻回犬；拉布拉多；德牧；伯恩山犬；罗威纳","多基因遗传；包含FCP/OCD/UAP三种亚型","4-8月龄开始显现","前肢跛行；步态异常；肘关节肿胀；频繁舔前腿；站立前腿外八","X光(肘关节)；CT；MRI；关节镜","种犬OFA肘部评分；控制幼犬生长速度；合理营养","保守治疗(NSAIDs；关节保健品)；手术矫正(FCP/OCD切除)","中度","种犬OFA肘部评分；幼犬期X光筛查","金毛双重暴击；早期诊断关键"
"甲状腺功能减退(犬)","Hypothyroidism","代谢","金毛寻回犬；杜宾；爱尔兰赛特犬；哈士奇；柴犬；松狮","自身免疫性甲状腺炎；常染色体遗传倾向","中年期(4-10岁)","体重增加；嗜睡；脱毛；皮肤色素沉着；怕冷；行为变化","T4；fT4；TSH；甲状腺自身抗体","种犬甲状腺检测；避免近亲繁殖","甲状腺素替代治疗(左旋甲状腺素)；终身用药","轻度","种犬年度甲状腺功能检测；高发品种定期筛查","可控但需终身用药"
"运动诱导性虚脱","Exercise-Induced Collapse (EIC)","神经","拉布拉多；切萨皮克湾寻回犬；卷毛寻回犬","常染色体隐性遗传；DNM1基因突变；高温剧烈运动诱发","幼年到成年(6月-3岁)","剧烈运动5-15分钟后出现后肢无力；摇摆步态；前肢可正常；休息10-20分钟恢复","基因检测DNM1；运动诱发测试","基因检测剔除携带者；避免剧烈运动及高温","避免诱发因素；多数可自行恢复；严重者降温支持","中度","基因检测DNM1；运动管理","拉布拉多高携带率约30%"
"肥胖倾向(遗传)","Genetic Obesity Predisposition","代谢","拉布拉多；比格犬；巴哥；可卡犬；柯基","多基因遗传；包括POMC基因突变；食欲调节异常","幼年-成年期","过度食欲；体重难以控制；代谢率低","体况评分；体重监测","控制饮食量；增加运动；选择低热量粮","饮食管理；运动处方；饱腹感配方粮食","轻度","定期体重监测；体况评分","拉布拉多约25%携带POMC突变；与食欲相关"
"椎间盘疾病(IVDD)","Intervertebral Disc Disease (IVDD)","骨骼","柯基；腊肠犬；法斗；比格犬；可卡犬；京巴","FGF4基因突变(常染色体显性)；软骨发育不全连锁反应；椎间盘退变","3-7岁高发；1岁内急性发病案例增多","弓背走路；祈祷姿势；后腿无力；突然惨叫；拒绝被抱；严重者瘫痪","神经学检查；脊髓造影；MRI；X光","控制体重；禁止上下楼梯；禁止跳跃；使用胸背带","保守治疗( crate休息；NSAIDs；类固醇)；手术(椎间盘切除)；物理康复","重度","基因检测FGF4；定期神经学检查；体重管理","柯基发病率高达25%；短腿犬种高发"
"退行性脊髓病","Degenerative Myelopathy (DM)","神经","德牧；柯基；金毛；拉布拉多；罗威纳；拳师犬；贵宾；喜乐蒂；苏牧","常染色体隐性遗传；SOD1基因突变；髓鞘变性","8-14岁中老年发病","后肢渐进性无力；拖地行走；步态不稳；无疼痛；最终全身瘫痪","基因检测SOD1；MRI排除其他疾病；神经学检查","基因检测剔除纯合子携带者；适度运动","无治愈手段；支持护理；物理治疗；辅助行走器具；安乐死","致死性","基因检测SOD1；老年期神经学评估","德牧发病率约9.5%；不可逆进展"
"膝关节脱位/髌骨脱位","Patellar Luxation","骨骼","贵宾/泰迪；比熊；博美；约克夏；马尔济斯；吉娃娃；柴犬；阿比西尼亚猫","多基因遗传；小型犬高发；髌骨滑车沟发育不良","幼年到成年(4月-2岁)","间歇性跛行；跳步动作；后腿突然抬起；严重者持续跛行","触诊；X光评估","选择膝关节正常种犬；控制体重","保守治疗(体重管理；关节保健品)；手术矫正(滑车沟成形；胫骨结节移位)","中度","种犬骨科评估；幼犬期触诊","小型犬最常见遗传骨科疾病"
"白内障(犬)","Cataracts","眼科","哈士奇；阿拉斯加；贵宾；比熊；京巴；拉布拉多；金毛","遗传性白内障；常染色体显性/隐性(因品种而异)；幼年期发病","幼年到成年(1-5岁)；品种不同","晶状体混浊；视力下降；撞物；眼球发白","眼科检查；裂隙灯；眼底检查","种犬眼科筛查；CERF/OFA眼检测","手术摘除晶状体；人工晶体植入；眼药水(早期)","中度","种犬CERF年度检查；幼犬眼科筛查","哈士奇幼年白内障高发"
"角膜营养不良","Corneal Dystrophy","眼科","哈士奇；萨摩耶；柯基；比格","遗传性角膜基质变性；常染色体遗传","1-13岁；品种不同","角膜白色/灰色混浊斑块；通常无痛；不影响视力或轻度影响","眼科检查；裂隙灯","种犬眼科筛查","通常无需治疗；影响视力可考虑手术","轻度","种犬年度眼科检查","多为美容问题；不进展者观察即可"
"糖尿病(犬)","Diabetes Mellitus","代谢","萨摩耶；贵宾；腊肠犬；比格犬；京巴；迷你雪纳瑞","多基因遗传倾向；自身免疫破坏胰岛细胞；肥胖加重","中老年(5-12岁)","多饮多尿；多食；体重下降；白内障；嗜睡","血糖；果糖胺；尿糖；糖耐量测试","控制体重；合理饮食；避免高脂食物","胰岛素注射(终身)；处方粮；监测血糖；运动管理","中度","定期血糖及果糖胺监测；体重管理","萨摩耶高发；母犬多发"
"肺动脉狭窄","Pulmonic Stenosis","心脏","萨摩耶；英国斗牛犬；迷你雪纳瑞；西高地白梗","多基因遗传；肺动脉瓣畸形","幼年期开始","运动不耐受；呼吸急促；晕厥；心杂音；右心衰竭","心脏超声(金标准)；心电图；胸部X光","种犬心脏筛查；避免近亲繁殖","药物治疗(β受体阻滞剂)；球囊扩张术；手术矫正","重度","种犬心脏超声筛查；幼犬心杂音听诊","萨摩耶高发先天性心脏病"
"癫痫(犬)","Idiopathic Epilepsy","神经","边牧；比格犬；德牧；金毛；拉布拉多；腊肠犬","多基因遗传；脑电活动异常","1-5岁开始","反复性癫痫发作；意识丧失；抽搐；口吐白沫；大小便失禁","病史；神经学检查；MRI排除其他；脑电图；血液检查","种犬病史调查；避免患病个体繁育","抗癫痫药物(苯巴比妥；溴化钾；左乙拉西坦)；终身用药；发作管理","中度","种犬病史追踪；年度神经学评估","边牧高发；初次发作1-5岁"
"胶原性眼异常","Collie Eye Anomaly (CEA)","眼科","边牧；苏牧；喜乐蒂；澳洲牧羊犬","常染色体隐性遗传；NHEJ1基因突变；眼球发育异常","出生即存在(6-8周可检出)","脉络膜发育不良；视神经乳头异常；视网膜脱离；严重者失明","眼底镜检查(6-8周龄)；基因检测NHEJ1","基因检测剔除携带者；种犬眼科筛查","无特效治疗；视网膜脱离可手术","中度","基因检测NHEJ1；幼犬6-8周眼底检查","牧羊犬类高发；轻者不影响视力"
"特应性皮炎/过敏","Atopic Dermatitis","皮肤","柴犬；金毛；拉布拉多；西高地白梗；沙皮；德牧","多基因遗传倾向；免疫系统异常；皮肤屏障缺陷","1-3岁开始","瘙痒；反复搔抓；皮肤红肿；脱毛；外耳炎；继发感染","病史；过敏原检测；排除诊断","选择无过敏史血统；避免过敏原","避免过敏原；免疫调节剂(环孢素；奥克拉替尼)；皮质激素；抗菌药浴；必需脂肪酸","中度","病史追踪；定期皮肤检查","柴犬发病率高；终身管理"
"青光眼(犬)","Glaucoma","眼科","柴犬；哈士奇；贵宾；米格鲁；美国可卡犬；巴吉度","原发性青光眼遗传倾向；前房角发育异常；房水排出受阻","中老年(4-9岁)；柴犬高发","眼红肿疼痛；眼球突出；角膜混浊；瞳孔散大；视力丧失","眼压测量(10-25mmHg正常)；眼底镜；前房角镜","种犬眼压监测；高发品种定期筛查","降眼压药(拉坦前列素；多佐胺)；手术(激光；引流阀)；眼球摘除(晚期)","重度","高发品种年度眼压测量；眼底检查","柴犬发病率高达30%；眼科急症；视力不可逆丧失"
"短鼻综合征(犬)","Brachycephalic Obstructive Airway Syndrome (BOAS)","呼吸","法斗；英斗；巴哥；京巴；西施；波士顿梗；骑士查理王","多基因遗传；短头颅畸形导致鼻腔狭窄；软腭过长；喉囊外翻","出生即存在；随年龄加重","打鼾；呼吸困难；张口呼吸；运动不耐受；易中暑；睡眠呼吸暂停；发绀","BOAS分级评估；X光；内窥镜","选择头骨较正常个体；控制体重；避免高温环境","手术矫正(软腭切除；鼻孔成形；喉囊切除)；环境管理；体重控制","重度","种犬BOAS分级评估；年度呼吸检查","42个犬种受影响；法斗最严重；炎热天气高风险"
"气管塌陷","Tracheal Collapse","呼吸","博美；约克夏；吉娃娃；马尔济斯；贵宾","多基因遗传；气管软骨环退化；小型犬高发","中老年(6-10岁)","鹅鸣咳嗽；呼吸困难；运动不耐受；兴奋或压迫颈部时加重；发绀","X光(颈部侧位)；气管镜(金标准)","使用胸背带代替项圈；控制体重；避免烟雾","止咳药；糖皮质激素；支气管扩张剂；气管支架(严重者)；手术","中度","X光评估气管；定期呼吸检查","小型犬高发；不可逆；终身管理"
"高脂血症","Hyperlipidemia","代谢","迷你雪纳瑞；雪纳瑞；贵宾；比格犬","常染色体遗传倾向；脂蛋白代谢异常","成年期开始","血清乳糜状；腹痛；胰腺炎风险升高；眼睛脂质沉积","血液生化(空腹甘油三酯；胆固醇)","低脂饮食；控制体重","低脂处方粮；Omega-3脂肪酸；必要时降脂药","轻度","年度空腹血脂检查","迷你雪纳瑞高发；常合并胰腺炎"
"胰腺炎(遗传倾向)","Pancreatitis","消化","迷你雪纳瑞；约克夏；贵宾；可卡犬","遗传倾向；高脂血症相关；免疫介导","成年到中老年","呕吐；腹痛(祈祷姿势)；厌食；腹泻；脱水；严重者休克","血液生化(脂肪酶；淀粉酶)；cPLI；超声","低脂饮食；控制体重；避免高脂食物","输液治疗；止痛；止吐；抗生素(继发感染)；低脂粮","重度","定期血液生化；腹部超声","易复发；慢性可发展为胰腺外分泌不足"
"膀胱结石(遗传倾向)","Urolithiasis / Bladder Stones","泌尿","迷你雪纳瑞；腊肠犬；比格；可卡犬；巴哥","遗传性代谢异常；不同类型结石机制不同","成年期开始","排尿困难；血尿；尿频；腹痛；尿路阻塞(公犬)","尿检；X光；超声；结石分析","充足饮水；处方粮；定期尿检","处方溶石粮；手术取石；导尿；增加饮水","中度","定期尿检及超声；尿pH监测","迷你雪纳瑟高发草酸钙及鸟粪石结石"
"胰腺外分泌不足","Exocrine Pancreatic Insufficiency (EPI)","消化","德牧；粗毛柯利犬；爱尔兰赛特犬","常染色体遗传倾向；胰腺腺泡萎缩；自身免疫机制","青年到中年(1-5岁)","体重下降；多食；贪食；粪便量大且油腻(脂肪泻)；被毛粗糙","TLI(胰蛋白酶样免疫反应)测试；粪便检查","种犬病史追踪；避免患病个体繁育","胰酶替代治疗(终身)；维生素B12注射；低脂易消化粮","中度","TLI检测；定期营养评估","德牧高发；不可逆；需终身酶替代"
"脑积水","Hydrocephalus","神经","吉娃娃；约克夏；马尔济斯；博美；京巴","常染色体遗传倾向；脑脊液循环障碍；小型犬高发","出生或幼年期","头颅异常膨大；眼球下转(落日征)；癫痫；失明；行为异常；行走困难","神经系统检查；MRI/CT；超声(幼犬囟门)","选择无家族史种犬；避免近亲繁殖","药物治疗(乙酰唑胺；皮质激素)；手术引流(脑室腹腔分流)","重度","种犬神经学评估；幼犬头部检查","小型犬高发；严重者预后差"
"动脉导管未闭","Patent Ductus Arteriosus (PDA)","心脏","博美；贵宾；柯基；约克夏；德牧；拉布拉多","多基因遗传；出生后动脉导管未闭合","出生即存在；数月内显现","运动不耐受；呼吸急促；心杂音(连续性机器样)；生长缓慢；心衰","心脏超声(金标准)；心电图；胸部X光","种犬心脏筛查；避免近亲繁殖","手术结扎(开胸)；介入封堵(导管封堵器)","重度","种犬心脏超声；幼犬心杂音听诊","博美高发；及早手术预后较好"
"胃扭转/胃扩张扭转","Gastric Dilatation-Volvulus (GDV)","消化","大丹犬；圣伯纳；德牧；标准贵宾；巴吉度；魏玛犬；藏獒","深胸型犬种遗传倾向；胃韧带松弛","中老年(5-12岁)；大型犬高发","腹部迅速膨胀；干呕无法呕吐；流涎；焦躁；祈祷姿势；休克","X光(胃扩张及气体)；临床体征","少量多餐(每日2-3次)；食后禁止运动；预防性胃固定术","紧急手术(胃复位+胃固定术)；胃切除(坏死)；休克治疗","致死性","预防性胃固定术(高风险犬种)；X光评估","大丹犬发病率高达40%；急诊不及时死亡率高"
"扩张型心肌病(犬)","Dilated Cardiomyopathy (DCM)","心脏","杜宾；大丹犬；拳师犬；可卡犬；爱尔兰猎狼犬；纽芬兰","遗传性；杜宾PDK4及TTN基因突变；其他品种多基因","中年到老年(4-10岁)；杜宾高发","早期无症状；运动不耐受；咳嗽；呼吸急促；虚弱；腹水；突然死亡(心律失常)","心脏超声(金标准)；心电图；Holter监测；NT-proBNP","基因检测(杜宾)；种犬心脏筛查；均衡营养","ACE抑制剂；β受体阻滞剂；抗心律失常药；利尿剂；心脏处方粮","重度","种犬年度心脏超声及Holter；基因检测PDK4/TTN","杜宾约50%死于DCM；可猝死"
"血管性血友病","Von Willebrand Disease (vWD)","血液","杜宾；标准贵宾；德牧；金毛；腊肠犬；喜乐蒂；柯基；伯恩山","vWD I型常染色体显性(杜宾等)；vWD III型常染色体隐性(苏格兰梗等)","出生即存在；手术后或外伤后显现","黏膜出血(鼻衄；牙龈出血)；术后出血不止；胃肠道出血；血尿；母犬发情期出血多","vWF抗原定量；基因检测；出血时间测试","基因检测剔除患病个体；术前筛查","输血；冷沉淀；vWF浓缩剂；避免创伤及某些药物(阿司匹林)","中度","基因检测vWF；术前凝血筛查","杜宾I型高发约70%携带；多数可正常生活"
"骨肉瘤","Osteosarcoma","骨骼","罗威纳；大丹犬；圣伯纳；金毛；爱尔兰猎狼犬；杜宾","遗传倾向；大型犬高发；长骨近端或远端","中老年(7-10岁)；大型犬较早","肢体肿胀；持续性跛行；疼痛；病理性骨折","X光；CT；活检；胸部X光(转移评估)","无明确预防；避免辐射","截肢；化疗(卡铂；多柔比星)；放疗；疼痛管理","致死性","高发品种定期骨科检查；老年X光筛查","大型犬最常见骨恶性肿瘤；易肺转移"
"二尖瓣疾病","Mitral Valve Disease (MVD)","心脏","骑士查理王小猎犬；腊肠犬；贵宾；可卡犬","多基因遗传；二尖瓣黏液样变性；骑士查理王几乎100%发病","骑士查理王5岁开始；其他品种中老年","心杂音(收缩期)；咳嗽；运动不耐受；呼吸急促；心衰症状","心脏听诊；心脏超声(金标准)；胸部X光；NT-proBNP","种犬心脏超声；延迟繁育年龄(骑士查理王2.5岁后)","ACE抑制剂；匹莫苯；呋塞米；心脏处方粮；定期监测","重度","种犬年度心脏听诊及超声；高发品种2岁起筛查","骑士查理王约10岁前100%发病；早期筛查关键"
"眼睑内翻","Entropion","眼科","松狮；京巴；沙皮；拉布拉多；金毛；罗威纳","遗传性眼睑结构异常；睑缘向内翻转","幼年(6-12月龄)开始","眼睑内翻；睫毛刺激角膜；流泪；角膜溃疡；眯眼；频繁眨眼","眼科检查；荧光素染色","选择无眼睑异常种犬","手术矫正(眼睑成形术)；暂时性缝合(幼犬)；眼药水保护角膜","中度","种犬眼科检查；幼犬眼部评估","沙皮及松狮高发；幼犬可暂时缝合观察"
"眼睑外翻","Ectropion","眼科","巴吉度；可卡犬；圣伯纳；寻血猎犬","遗传性眼睑结构异常；睑缘向外翻转","幼年(6-12月龄)开始","眼睑外翻；暴露性结膜炎；慢性流泪；结膜充血","眼科检查","选择无眼睑异常种犬","眼药水润滑；手术矫正(严重者)","轻度","种犬眼科检查","松弛型品种倾向；轻度可观察"
"折叠性皮炎","Skin Fold Dermatitis","皮肤","沙皮；巴哥；法斗；英斗；京巴；可卡犬","面部/体表褶皱过多导致皮肤浸渍；继发细菌/真菌感染","幼年即可出现","褶皱部位红肿；瘙痒；恶臭；渗出；继发感染","皮肤检查；细胞学；培养","保持褶皱清洁干燥；定期清洁","抗菌药浴；局部抗菌药膏；严重者手术切除多余皮肤","轻度","定期皮肤检查；日常褶皱清洁","沙皮最严重；需终身管理"
"淀粉样变性(犬)","Familial Shar-Pei Fever / Amyloidosis","代谢","沙皮","常染色体隐性遗传；HY1基因突变；周期性发热最终发展为肾淀粉样变性","幼年开始发热；中老年出现肾衰","反复发热(周期性)；关节肿胀；腹痛；最终多饮多尿；肾衰症状","病史；血液生化；肾活检；基因检测","基因检测；选择无家族史个体","秋水仙碱(预防发作)；肾衰管理；支持治疗","重度","基因检测；定期肾功能监测(SDMA)","沙皮特有；可发展为致死性肾衰"
