"disease_name","english_name","pathogen","category","susceptible_species","transmission","incubation_period","symptoms","diagnosis","treatment","prevention","mortality","is_zoonotic","severity","notes"
"猫血支原体感染(猫传染性贫血)","Feline Infectious Anemia (FIA)","猫血支原体(Mycoplasma haemofelis)","细菌性","猫(尤以FeLV/FIV阳性猫、户外猫)","跳蚤叮咬传播(主要);咬伤;输血;母婴传播","1-3周","贫血(黏膜苍白、虚弱、嗜睡);发热;食欲下降;体重下降;脾肿大;黄疸(溶血严重时);呼吸急促;心杂音","血常规(再生性贫血);血涂片(红细胞表面病原体);PCR检测(敏感);Coombs试验;排除FeLV/FIV","多西环素(2周以上);恩诺沙星;马罗匹坦;糖皮质激素(免疫介导溶血时);严重贫血输血;支持疗法;治疗基础病(FeLV/FIV)","驱虫(防跳蚤);室内饲养;减少打架;输血前筛查;治疗FeLV/FIV基础病","急性重症死亡率较高;慢性可反复发作","否","高","曾称猫传染性贫血;旧名Haemobartonella felis;跳蚤为重要媒介;常继发于FeLV/FIV免疫抑制;应激可诱发"
"犬瘟热","Canine Distemper (CDV)","犬瘟热病毒(CDV,副黏病毒科麻疹病毒属)","病毒性","犬(尤以3-6月龄幼犬);鼬科、浣熊科","飞沫传播(咳嗽、喷嚏);直接接触眼鼻分泌物、尿液;污染物间接传播","3-7天(可至2周)","双相热(高热下降后再次升高);眼鼻脓性分泌物;咳嗽、肺炎;呕吐、腹泻(血便);神经症状(肌肉震颤、抽搐、共济失调、癫痫);脚垫增厚角化(硬脚掌病);鼻镜干裂;皮肤脓疱","临床症征(双相热、神经症状、硬脚掌);CDV抗原快速试纸(眼鼻分泌物);PCR;血清学;排除细小、肝炎","无特效药;支持疗法;抗病毒(犬瘟热单抗、高免血清、干扰素);抗生素防继发感染(阿莫西林克拉维酸钾、头孢噻呋);止吐止泻;抗惊厥(苯巴比妥);补液营养","接种犬二联/四联/六联/八联疫苗(含CDV);幼犬6-8周龄首免;每3-4周至16周龄;每年加强;隔离病犬;环境消毒","未免疫幼犬死亡率50%-90%;出现神经症状后死亡率90%以上","否","极高","俗称狗瘟;副黏病毒科;纯种犬比杂种犬易感;冬春高发;康复犬可排毒数月;神经后遗症常见"
"犬细小病毒病","Canine Parvovirus Infection (CPV)","犬细小病毒(CPV-2及亚型2a/2b/2c)","病毒性","犬(尤以2-4月龄幼犬);纯种犬高发","粪口传播(病犬粪便、呕吐物);污染物(鞋底、食具、笼具)间接传播;康复犬排毒1-2个月","3-7天","剧烈呕吐(先食物后黄绿色胆汁);番茄酱样血便(腥臭);迅速脱水;白细胞显著减少;发热;肠炎型多见;心肌炎型(4-6周龄幼犬)可突然死亡","CPV抗原快速试纸(粪便);PCR;血常规(白细胞减少、淋巴细胞减少);临床症征;排除犬瘟热、肝炎","无特效药;支持疗法为主;静脉输液(林格液)纠正脱水;止吐(马罗匹坦);止血;广谱抗生素(氨苄西林+恩诺沙星)防败血症;营养支持;隔离","接种犬多联疫苗(含CPV);幼犬6-8周龄首免;每3-4周至16周龄;每年加强;环境用2%戊二醛或10%次氯酸钠消毒(病毒抵抗力强)","未免疫幼犬死亡率60%-90%;心肌炎型死亡率接近100%","否","极高","病毒环境抵抗力极强(室温存活6个月以上);对酒精、季铵盐不敏感;夏秋高发;断奶、换粮、应激可诱发;治愈后获终身免疫"
"犬副流感病毒感染","Canine Parainfluenza Virus Infection (CPIV)","犬副流感病毒(CPIV,副黏病毒科)","病毒性","犬(各年龄;群养犬高发)","飞沫传播;直接接触分泌物;污染物","2-10天","干咳或阵发性咳嗽(可持续1-2周);浆液性鼻涕;打喷嚏;轻度发热;食欲下降;单纯感染症状轻;常为犬窝咳复合病原之一","临床症征;PCR(鼻咽拭子);血清学双份抗体4倍升高;排除犬瘟热","支持疗法;休息隔离;止咳(丁托啡诺、氢可酮);抗生素(多西环素)防继发感染;雾化;胸背带替代项圈","接种犬多联疫苗(含CPIV);鼻内喷雾疫苗起效快;新犬隔离7-10天;犬舍通风;减少密度","单纯感染死亡率低;继发肺炎时死亡率升高","否","低","犬窝咳常见病原之一;病毒犬科特异性不传染人;常与博德特氏菌、腺病毒2型混合感染"
"犬腺病毒I型感染(犬传染性肝炎)","Infectious Canine Hepatitis (ICH/CAV-1)","犬腺病毒I型(CAV-1)","病毒性","犬(1岁以下幼犬最严重);狐、狼等犬科","接触病犬尿液、粪便、唾液;污染物;康复犬经尿排毒6-9个月","4-9天","突发高热(40-41℃);剧烈呕吐腹泻(可带血);扁桃体肿大;颈头部皮下水肿;腹痛(肝区);出血倾向(瘀点、DIC);黄疸;约20%康复犬出现「蓝眼病」(角膜水肿蓝灰色);超急性型数小时死亡","临床症征(蓝眼、肝炎);ICH试纸;PCR;血常规(白细胞先减后增、血小板减少);生化(ALT、AST、胆红素升高);超声肝肿大","无特效药;支持疗法;静脉输液+葡萄糖;保肝(水飞蓟素、SAMe);止吐(马罗匹坦);抗生素(氨苄西林);DIC用血浆;蓝眼病局部抗炎眼药(禁激素)","接种犬多联疫苗(用CAV-2交叉保护CAV-1);幼犬6-8周龄首免;每年加强;环境消毒;隔离病犬","超急性型死亡率极高;急性型存活率60%-70%","否","高","CAV-1不传染人;蓝眼病为特征性恢复期表现(1-3周自愈);病毒环境抵抗力强;已接种疫苗犬群少见"
"犬腺病毒II型感染(犬传染性喉气管炎)","Canine Adenovirus Type 2 Infection (CAV-2)","犬腺病毒II型(CAV-2)","病毒性","犬","飞沫传播;直接接触分泌物;污染物","5-7天","干咳、阵发性咳嗽;喉气管炎;浆液性鼻涕;发热;食欲下降;常为犬窝咳病原之一;肺炎(严重病例)","临床症征;PCR;血清学;排除其他呼吸道病原","支持疗法;止咳;抗生素防继发感染;雾化;休息隔离","接种犬多联疫苗(含CAV-2);可交叉保护CAV-1;新犬隔离;环境消毒","死亡率低;继发肺炎时较重","否","低","CAV-2主要引起呼吸道症状;疫苗中使用CAV-2既防呼吸道感染又交叉保护传染性肝炎;犬窝咳复合病原之一"
"犬冠状病毒病","Canine Coronavirus Infection (CCoV)","犬冠状病毒(CCoV)","病毒性","犬(幼犬高发)","粪口传播;病犬粪便污染环境;污染物间接传播","1-4天","轻度至中度胃肠炎:呕吐、腹泻(橘黄色恶臭稀便、可带黏液);厌食;嗜睡;脱水(轻度);通常无血便(与细小鉴别);可与CPV混合感染加重","PCR(粪便);电镜观察病毒;血清学;临床症征;排除CPV","支持疗法;补液;止吐;抗生素防继发感染;电解质平衡;隔离","接种含CCoV的多联疫苗(部分国家非核心);环境消毒;隔离病犬;减少应激","单纯感染死亡率低(幼犬、混合感染时较高)","否","中","常与CPV混合感染加重病情;病毒在外界环境存活较长;发病率高但死亡率低;成年猫少见"
"犬钩端螺旋体病","Canine Leptospirosis","钩端螺旋体(Leptospira,多种血清型如canicola、icterohaemorrhagiae)","细菌性","犬(及人、多种哺乳动物)","接触带菌动物尿液或污染水源、土壤;经皮肤伤口、黏膜侵入;咬伤;食入污染食物","4-12天","发热;嗜睡;呕吐;腹泻;黄疸(肝损伤);肾衰竭(多饮多尿、少尿);出血倾向(瘀点、黏膜出血);肌肉疼痛;眼色素层炎;急性死亡","临床症征;PCR(血、尿);血清学(MAT显微镜凝集试验);肝肾功能;尿检;排除其他肝病","抗生素(多西环素、青霉素、氨苄西林);支持疗法;补液;保肝;肾衰治疗;对症;隔离防传染","接种钩端螺旋体疫苗(含多血清型);避免接触污染水源、鼠类;环境灭鼠;病犬尿液严格消毒","未治疗死亡率20%-50%;及时治疗存活率高","是","高","人畜共患病(接触病犬尿液可感染人);我国南方多发;鼠类为重要宿主;血清型多疫苗覆盖有限;康复犬可经尿排菌数月"
"犬传染性气管支气管炎(犬窝咳)","Canine Infectious Tracheobronchitis (Kennel Cough)","多病原:博德特氏菌(Bordetella)+犬副流感病毒+犬腺病毒2型+支原体等","细菌性/病毒性","犬(各年龄;群养犬高发)","飞沫传播(咳嗽、喷嚏);直接接触;污染物(食具、玩具、犬舍)","2-10天","特征性「鹅鸣样」干咳;运动、兴奋、牵拉项圈后诱发;咳后干呕白沫;轻症精神食欲正常;重症发热、脓性鼻涕、食欲下降、肺炎","临床症征(特征性咳嗽);病史(寄养、犬展);PCR排查病原;胸X光排除肺炎;血常规","轻症自愈(1-2周);止咳(右美沙芬);抗生素(多西环素、阿莫西林克拉维酸钾)7-10天;雾化;糖皮质激素抗炎;重症吸氧输液","接种犬多联疫苗(含CPIV、CAV-2)+博德特氏菌疫苗(鼻喷型2-3天起效);新犬隔离7-14天;犬舍通风消毒;减少应激","死亡率低;继发肺炎时死亡率升高(幼犬、老年犬)","否(波氏杆菌极少数免疫低下人感染)","低","多病原混合感染(超60%);犬舍、寄养中心、犬展高发;疫苗不能100%防感染但可降低严重度"
"犬疱疹病毒感染","Canine Herpesvirus Infection (CHV)","犬疱疹病毒(CHV-1)","病毒性","犬(尤以3周龄内新生幼犬致命)","直接接触口鼻分泌物、飞沫;母犬产道传仔;犬间密切接触","3-8天","新生幼犬(致命):暴发性败血症、肾衰竭、肝坏死、出血、突然死亡(整窝死亡);成年犬:轻微上呼吸道症状、阴道炎、龟头炎、流产、不孕","临床症征(新生犬死亡);PCR;病毒分离;组织病理(肾坏死灶);血清学","无特效药;支持疗法;保温(幼犬34-35℃重要);免疫血清;抗病毒药效果有限;成犬对症治疗","无广泛有效疫苗(部分国家有);产房保温;孕犬隔离分娩;新犬隔离;减少应激","新生幼犬死亡率80%-100%;成年犬死亡率低","否","高(幼犬)","新生幼犬3周龄内最致命;低温促进病毒复制故保温关键;成年犬多为隐性感染;病毒在环境中脆弱"
"犬埃立克体病","Canine Ehrlichiosis","犬埃立克体(Ehrlichia canis)","细菌性(立克次体)","犬","血红扇头蜱(褐犬蜱)叮咬传播;输血传播;不直接人畜共患(但人可被蜱叮咬感染其他埃立克体)","1-3周","急性期:发热、嗜睡、厌食、淋巴结肿大、出血倾向(瘀点、鼻衄、黑便)、脾肿大;亚临床期:无症状持续数月-数年;慢性期:骨髓抑制、严重贫血、血小板减少、消瘦、神经症状、眼色素层炎、肾衰","PCR(血);血清学(IFA、ELISA);血涂片(单核细胞内桑椹体);血常规(血小板减少、贫血、白细胞减少);生化","多西环素(5-10mg/kg每日2次或10mg/kg每日1次,疗程28天);米诺环素;支持疗法;补液;输血(严重贫血);止血药","驱蜱虫(每月体外驱虫);环境灭蜱;筛查献血犬;避免蜱暴露地区","未治疗慢性期死亡率较高;及时治疗预后好","是(蜱传)","高","蜱传疾病;褐犬蜱为媒介;我国南方多见;可与其他蜱传病(巴贝斯虫、莱姆病)混合感染"
"犬巴贝斯虫病","Canine Babesiosis","犬巴贝斯虫(Babesia canis)、吉氏巴贝斯虫(Babesia gibsoni)","原虫(寄生虫性)","犬(梗犬、灰狗高发);偶感染猫","蜱虫叮咬传播(血红扇头蜱等);犬咬伤传播(吉氏巴贝斯虫);输血;母婴","7-10天(可达数周)","发热;贫血(黏膜苍白);黄疸;血红蛋白尿(红色尿);脾肿大;嗜睡;食欲下降;出血倾向;严重急性死亡","血涂片(红细胞内虫体);PCR(鉴定虫种);血清学;血常规(贫血、血小板减少);生化","伊米多卡二丙酸盐(Imidocarb,对B.canis有效可治愈);阿奇霉素+阿托伐醌(对B.gibsoni减轻症状但难根治);支持疗法;输血;补液","驱蜱虫;避免犬只打架;筛查献血犬;环境灭蜱;疫苗(部分国家有针对B.canis)","急性重症死亡率20%-50%;慢性可长期带虫","是(蜱传,但宠物巴贝斯虫不直接传人)","高","蜱传原虫病;破坏红细胞致溶血性贫血;我国流行区发病率高;B.gibsoni更难根治;可人畜共患(不同虫种)"
"犬莱姆病","Canine Lyme Borreliosis","伯氏疏螺旋体(Borrelia burgdorferi)","细菌性(螺旋体)","犬(及人、马);猫少见","蜱虫叮咬传播(硬蜱属,如肩突硬蜱);蜱需附着24-48小时才传播","数周至数月","多数感染无症状;发热;跛行(游走性关节炎、关节肿胀);嗜睡;食欲下降;淋巴结肿大;少数发展为肾小球肾炎(拉布拉多、金毛易感);心脏病、神经症状罕见","血清学(C6 SNAP、IFA、Western blot);PCR(关节液、血);排除其他跛行原因;尿检(蛋白尿);关节穿刺","多西环素(10mg/kg每日2次,疗程4周);阿莫西林(替代);止痛;支持疗法;肾衰治疗","驱蜱虫(每月);蜱暴露后及时摘除(24小时内);疫苗(我国少用);避免蜱高发区","死亡率低;肾型预后差","是","中","蜱传人畜共患病;我国东北、华北、华南流行区;多数感染犬无症状;拉布拉多、金毛易发肾型;蜱需附着较长时间才传播"
"犬心丝虫病","Canine Heartworm Disease","犬恶丝虫(Dirofilaria immitis)","寄生虫性","犬(主要终宿主);猫(异常宿主);偶感染人","蚊虫叮咬传播(多种蚊子为媒介);不直接犬间传播","6-7个月(幼虫发育至成虫)","早期无症状;咳嗽;运动不耐受;嗜睡;体重下降;呼吸困难;咳血;右心衰竭(腹水、肝肿大);猫可致呼吸窘迫、呕吐、猝死","抗原检测(成虫抗原,犬首选);抗体检测(猫);微丝蚴血涂片(改良Knott试验);胸部X光;心脏超声;生化","驱虫药杀成虫(美拉索明砷剂注射,有风险);多西环素(杀沃尔巴克氏体);限制运动;支持疗法;猫无成虫杀虫药,对症治疗;手术取虫(严重病例)","每月预防药(伊维菌素、米尔贝肟、塞拉菌素等)或每年注射(莫西菌素);全年预防;蚊虫控制;犬预防前先检测","未治疗犬死亡率高(心衰);治疗本身有风险;猫死亡率较高(猝死)","是(人偶发肺结节)","高","蚊传寄生虫病;预防远胜治疗;治疗费用是预防10倍以上;我国南方高发;犬为终宿主;猫为异常宿主虫体发育不全"
"犬流感","Canine Influenza","犬流感病毒(CIV,H3N8、H3N2亚型)","病毒性","犬(群养犬、犬展、寄养犬高发)","飞沫传播(咳嗽、喷嚏);直接接触分泌物;污染物;H3N2可猫狗间传播","2-4天","持续咳嗽(湿咳或干咳,可持续数周);流脓性鼻涕;发热;嗜睡;食欲下降;部分无症状;少数发展为重症肺炎(死亡率约10%)","PCR(鼻咽拭子);血清学(双份抗体4倍升高);排除其他呼吸道病原;胸X光","支持疗法;补液;止咳;抗生素(多西环素、阿莫西林克拉维酸钾)防继发感染;重症吸氧;隔离4周以上","疫苗(我国少用);隔离病犬;犬舍通风消毒;新犬隔离;减少密集","死亡率低(<10%);重症肺炎死亡率较高","否","中","H3N8源于马流感;H3N2源于禽流感(可传猫);我国有H3N2报道;病毒在外界存活24-48小时"
"狂犬病(猫)","Rabies in Cats","狂犬病毒(RABV,弹状病毒科狂犬病毒属)","病毒性","猫(及所有温血动物)","被患病动物咬伤、抓伤;唾液经伤口或黏膜侵入;抓伤舔舐;气溶胶(蝙蝠穴罕见)","1-3个月(可短至数天或长至数年)","前驱期:行为改变、发热;狂躁期:攻击性、流涎、肌肉痉挛、恐水、怕光;麻痹期:进行性瘫痪、昏迷、死亡","临床症征(恐水、攻击性);脑组织Negri小体(死后确诊);IFA;PCR(唾液、脑脊液);无生前确诊金标准","无有效治疗;一旦发病死亡率近100%;暴露后立即处理:肥皂水冲洗伤口15分钟;碘伏消毒;就医接种狂犬疫苗及免疫球蛋白","接种狂犬疫苗(核心);幼猫3月龄首免;每年加强;室内饲养减少暴露;控制流浪猫;被咬伤立即就医","发病后死亡率近100%","是","极高","人畜共患病(我国乙类法定传染病);99%人狂犬病由犬传播(猫次之);一旦发病无可救;暴露后预防(PEP)关键;我国要求犬猫强制免疫"
"狂犬病(犬)","Rabies in Dogs","狂犬病毒(RABV,弹状病毒科狂犬病毒属)","病毒性","犬(主要传染源);所有温血动物","被患病动物咬伤、抓伤;唾液经伤口或黏膜侵入","1-3个月(可短至数天或长至数年)","前驱期:行为改变、低热、舔咬伤口;狂躁期:攻击性、流涎、吞咽困难、恐水、乱跑;麻痹期:下颌下垂、进行性瘫痪、昏迷、死亡(发病后7-10天)","临床症征;脑组织Negri小体(死后);IFA;PCR(唾液、脑脊液);生前无确诊金标准","无有效治疗;一旦发病死亡率近100%;暴露后处理:肥皂水冲洗伤口15分钟;碘伏消毒;及时接种狂犬疫苗+免疫球蛋白(三级暴露)","接种狂犬疫苗(核心强制);幼犬3月龄首免;每年加强; leash牵引;控制流浪犬;被咬伤立即就医","发病后死亡率近100%","是","极高","我国狂犬病主要传染源(99%人病例);法定乙类传染病;病死率最高的传染病;我国推行犬强制免疫;被咬伤48小时内开始PEP"
"弓形虫病","Toxoplasmosis","刚地弓形虫(Toxoplasma gondii)","寄生虫性(原虫)","猫(终宿主);犬及多种哺乳动物、人(中间宿主)","猫粪排出卵囊(猫科独有);食入含包囊未煮熟肉类;接触污染土壤、猫砂;母婴垂直传播;输血","1-3周(获得性)","免疫功能正常者多无症状或仅有淋巴结肿大、低热;免疫低下者:脑炎、视网膜脉络膜炎、肺炎、心肌炎;孕妇初次感染可致胎儿畸形、流产、死胎、脑积水;猫多无症状","血清学(IgG、IgM、IgA);PCR;组织活检(弓形虫);CT/MRI(脑病变);眼底检查;排除其他病因","磺胺嘧啶+乙胺嘧啶(标准治疗,需补充叶酸);克林霉素;螺旋霉素(孕妇);阿奇霉素;支持疗法","猫不喂生肉;每日清理猫砂(卵囊24小时后才具感染性);孕妇避免清理猫砂;肉类彻底煮熟;接触土壤戴手套;洗手","健康人死亡率低;免疫低下、先天感染死亡率高","是","高(免疫低下/孕妇)","猫为唯一终宿主(有性繁殖);我国人群感染率约5%-10%;食用未煮熟肉类是主要人感染途径(占67%);单纯养猫不增加感染风险(除非直接接触新鲜猫粪)"
