"ingredient_name","english_name","category","sub_category","source","main_nutrient","nutritional_value","efficacy","reference_range","suitable_for","caution","is_controversial","notes"
"肉骨粉","Meat and Bone Meal","动物蛋白","加工副产品","动物源","蛋白质","肉类与骨头混合加工；蛋白质含量差异大；含钙磷","提供蛋白和矿物质；降低成本","蛋白含量约50%；钙磷比不稳定","猫狗通用","来源不明时品质参差；蛋白质质量较低；氨基酸不平衡","是","配料表标注模糊的肉骨粉属劣质原料；需明确来源"
"鱼肉粉","Fish Meal","动物蛋白","肉粉","动物源","蛋白质","脱水浓缩鱼蛋白；富含EPA/DHA；蛋白质含量高","提供高浓度鱼蛋白和Omega-3；增强适口性","优质鱼粉蛋白含量≥60%；猫粮牛磺酸≥0.1%","猫狗通用","注意乙氧基喹啉防腐剂残留（鱼粉加工常用）；优选未添加","是","鱼粉在加工中常使用乙氧基喹啉防氧化；欧盟已禁用"
"鸡蛋","Egg / Whole Eggs","动物蛋白","蛋类","动物源","蛋白质","蛋白质生物价最高（约100）；含卵磷脂、蛋黄素、B族维生素","提供最优质蛋白；美毛；支持神经发育","成猫粮粗蛋白≥26%；蛋类蛋白质消化率≥95%","猫狗通用","部分宠物对蛋清蛋白过敏；需熟喂以避免抗营养因子","否","常以全蛋粉、蛋黄粉形式添加"
"水解蛋白","Hydrolyzed Protein","动物蛋白","水解产物","动物源","蛋白质","蛋白经酶解为小分子肽；分子量小；不被免疫系统识别","降低致敏性；提升消化率；适合过敏宠物","水解蛋白配方消化率＞90%","猫狗通用","价格较高；常用于处方低敏粮","否","低敏处方粮核心技术；分子量足够小可不触发过敏反应"
"鸡肝","Chicken Liver","动物蛋白","内脏","动物源","蛋白质","富含维生素A、B族、铁、铜；蛋白质含量高","补血；养护视力；提升适口性","维生素A猫粮上限750000 IU/kg；鸡肝蛋白含量约19%-24%","猫狗通用","维生素A过量中毒风险；不宜过量添加","否","天然诱食剂；同时是维生素A和铁的重要来源"
"牛肝","Beef Liver","动物蛋白","内脏","动物源","蛋白质","富含维生素A、B12、铁、锌；蛋白质含量高","补血；支持免疫；提升适口性","维生素A猫粮上限750000 IU/kg","猫狗通用","维生素A蓄积中毒风险；嘌呤含量较高","否","营养价值与鸡肝类似"
"鸡心","Chicken Heart","动物蛋白","内脏","动物源","蛋白质","富含牛磺酸、辅酶Q10、B族维生素","补充天然牛磺酸；支持心肌健康","猫粮牛磺酸≥0.1%（干粮）；≥0.2%（罐头）","猫狗通用","牛磺酸的天然优质来源；尤其适合猫","否","心肌和视网膜中牛磺酸高度富集"
"家禽副产品粉","Poultry By-Product Meal","动物蛋白","加工副产品","动物源","蛋白质","内脏、骨头、血液等混合物；来源参差","提供蛋白和矿物质","蛋白含量约55%-65%","猫狗通用","来源不明时品质无保障；配料表应明确标注部位","是","模糊标注的副产品粉属劣质原料；明确来源的副产品（如鸡肝粉）营养可用"
"大豆蛋白","Soy Protein","植物蛋白","豆类蛋白","植物源","蛋白质","植物蛋白；蛋白质含量高但氨基酸不平衡","提供辅助蛋白；降低成本","猫粮动物蛋白占比建议≥90%","猫狗通用","猫对植物蛋白消化率低；可能引起胀气；致敏风险","是","猫为专性食肉动物难以有效利用植物蛋白；常用于犬粮"
"玉米蛋白粉","Corn Gluten Meal","植物蛋白","谷物蛋白","植物源","蛋白质","高蛋白植物源（蛋白含量约60%）；含叶黄素","提供蛋白；降低成本；着色","猫粮动物蛋白占比建议≥90%","猫狗通用","氨基酸不平衡；猫消化率低；可能致敏","是","常作为低成本蛋白源；玉米是常见致敏谷物"
"豌豆蛋白","Pea Protein","植物蛋白","豆类蛋白","植物源","蛋白质","植物蛋白（蛋白含量约80%-85%）；无谷配方常用","提供植物蛋白；无谷配方替代谷物","猫粮动物蛋白占比建议≥90%","猫狗通用","可能引起软便胀气；植物蛋白吸收率低","是","无谷粮常大量使用豆类；可能虚高粗蛋白但猫无法吸收"
"小麦蛋白","Wheat Gluten","植物蛋白","谷物蛋白","植物源","蛋白质","植物蛋白（蛋白含量约75%-80%）；具黏弹性","提供植物蛋白；成型作用","猫粮动物蛋白占比建议≥90%","猫狗通用","小麦是常见致敏原；猫消化率低","是","小麦谷蛋白是犬猫常见致敏原之一"
"鸡脂","Chicken Fat","脂肪","动物脂肪","动物源","脂肪","优质动物脂肪；富含亚油酸（Omega-6）；适口性好","提供能量；必需脂肪酸来源；增强适口性","猫粮粗脂肪≥9%；犬粮粗脂肪≥5%；亚油酸猫粮≥0.5%","猫狗通用","相对稳定的优质脂肪源；需防腐剂防氧化","否","最常用的宠物食品脂肪源之一"
"牛油","Beef Tallow","脂肪","动物脂肪","动物源","脂肪","饱和脂肪较高；能量密度高；适口性中等","提供能量；提升适口性","猫粮粗脂肪≥9%；犬粮粗脂肪≥5%","猫狗通用","饱和脂肪高；肥胖和心血管敏感宠物慎用","否","注意脂肪新鲜度和氧化程度"
"鱼油","Fish Oil","脂肪","海产脂肪","动物源","脂肪","富含EPA和DHA（Omega-3）；抗炎作用强","美毛护肤；抗炎；支持脑部和心血管发育","EPA+DHA建议占比≥1%；猫粮粗脂肪≥9%","猫狗通用","易氧化需防腐；注意重金属残留；优选深海鱼油","否","Omega-3脂肪酸的优质来源；对皮肤毛发效果显著"
"亚麻籽油","Flaxseed Oil","脂肪","植物脂肪","植物源","脂肪","富含α-亚麻酸（ALA）；植物源Omega-3","提供Omega-3；美毛；抗炎","猫粮粗脂肪≥9%；亚麻籽油ALA含量约50%-60%","猫狗通用","猫转化ALA为EPA/DHA效率低；效果不如鱼油","否","犬对亚麻籽油利用较好；猫利用率较低"
"葵花籽油","Sunflower Oil","脂肪","植物脂肪","植物源","脂肪","富含亚油酸（Omega-6）；维生素E含量高","提供必需脂肪酸；抗氧化；护肤","猫粮亚油酸≥0.5%；犬粮亚油酸≥1%","猫狗通用","Omega-6过高可能促炎；需与Omega-3平衡","否","主要提供Omega-6脂肪酸"
"椰子油","Coconut Oil","脂肪","植物脂肪","植物源","脂肪","富含中链脂肪酸（MCT）；易吸收","快速供能；抗菌；护肤","猫粮粗脂肪≥9%；MCT约占椰子油60%","猫狗通用","饱和脂肪高；过量可能引起腹泻","否","中链脂肪酸对老年宠脑部健康有益"
"猪油","Lard","脂肪","动物脂肪","动物源","脂肪","饱和脂肪高；能量密度高；适口性好","提供能量；增强适口性","猫粮粗脂肪≥9%；犬粮粗脂肪≥5%","猫狗通用","饱和脂肪高；肥胖宠物慎用；稳定性一般","否","部分低价粮使用；品质不如鸡脂"
"DHA/EPA","Docosahexaenoic Acid / Eicosapentaenoic Acid","脂肪","必需脂肪酸","动物源","脂肪","长链多不饱和脂肪酸；主要来自深海鱼油","促进脑部和视网膜发育；抗炎；美毛；支持心血管","猫粮EPA+DHA建议≥0.05%；犬粮建议Omega-3与Omega-6比5-10:1","猫狗通用","易氧化；需足量维生素E防氧化","否","幼宠脑部发育关键营养；老年宠抗炎保健"
"玉米","Corn / Maize","碳水","谷物","植物源","碳水化合物","淀粉含量高；提供能量；含少量蛋白","提供能量；成型；降低成本","猫粮碳水建议≤25%；犬粮无严格上限","猫狗通用","猫对碳水消化能力弱；可能致敏；过量易肥胖","是","常见低成本填充物；玉米是常见致敏谷物"
"小麦","Wheat","碳水","谷物","植物源","碳水化合物","淀粉含量高；含麸质；提供能量","提供能量；成型","猫粮碳水建议≤25%","猫狗通用","麸质是常见致敏原；猫消化率低","是","小麦谷蛋白是常见过敏原"
"大米","Rice","碳水","谷物","植物源","碳水化合物","易消化碳水；致敏率低；适口性好","提供易消化能量；适合敏感肠胃","猫粮碳水建议≤25%","猫狗通用","相对低致敏谷物；白色大米已去除麸皮","否","较温和的谷物源；常用于肠胃处方粮"
"糙米","Brown Rice","碳水","谷物","植物源","碳水化合物","含麸皮和胚芽；富含B族维生素和纤维","提供能量和纤维；营养保留度高","猫粮碳水建议≤25%","猫狗通用","纤维含量高于白米；相对易消化","否","营养保留度优于白米"
"燕麦","Oats","碳水","谷物","植物源","碳水化合物","可溶性纤维（β-葡聚糖）丰富；低升糖","提供缓释能量；调节血糖；支持肠道","猫粮碳水建议≤25%","猫狗通用","相对健康的谷物；含可溶性纤维","否","β-葡聚糖对肠道和免疫有益"
"马铃薯","Potato","碳水","薯类","植物源","碳水化合物","淀粉含量高；无谷配方常用替代物","提供能量；无谷配方碳水来源","猫粮碳水建议≤25%","猫狗通用","属茄科植物；发芽变绿部分含龙葵素有毒","否","无谷粮常用碳水替代物"
"红薯","Sweet Potato","碳水","薯类","植物源","碳水化合物","富含β-胡萝卜素、维生素A和纤维；低升糖","提供能量和纤维；营养保留度高","猫粮碳水建议≤25%","猫狗通用","相对健康的碳水源；低升糖指数","否","营养优于普通马铃薯；含丰富维生素A前体"
"豌豆","Peas","碳水","豆类","植物源","碳水化合物","含蛋白和纤维；无谷配方常用","提供碳水、蛋白和纤维；无谷配方","猫粮碳水建议≤25%","猫狗通用","大量使用可能引起软便胀气；与DCM争议相关","是","FDA调查无谷粮与犬扩张型心肌病（DCM）的潜在关联"
"木薯","Cassava / Tapioca","碳水","薯类","植物源","碳水化合物","淀粉含量高；无谷配方粘合剂","提供能量；无谷配方成型","猫粮碳水建议≤25%","猫狗通用","生木薯含氰苷；需充分加工去毒；部分品牌渠道款减配添加","是","生木薯含氰化物前体；必须加工去毒；常作低成本粘合剂"
"高粱","Sorghum","碳水","谷物","植物源","碳水化合物","无麸质谷物；低升糖；耐旱作物","提供能量；无麸质配方","猫粮碳水建议≤25%","猫狗通用","相对低致敏谷物；无麸质","否","无麸质谷物替代物"
"大麦","Barley","碳水","谷物","植物源","碳水化合物","含可溶性纤维（β-葡聚糖）；低升糖","提供缓释能量；调节血糖；支持肠道","猫粮碳水建议≤25%","猫狗通用","含麸质；相对健康的谷物","否","β-葡聚糖有益肠道健康"
"甜菜粕","Beet Pulp","纤维","膳食纤维","植物源","纤维","中度发酵纤维；平衡可溶与不可溶纤维","促进肠道蠕动；滋养结肠细胞；调节粪便质地","猫粮粗纤维建议≤5%；处方粮常用甜菜粕作为纤维源","猫狗通用","适量有益；过量影响矿物质吸收","否","公认优质的膳食纤维源；发酵性适中"
"纤维素","Cellulose","纤维","膳食纤维","植物源","纤维","不可溶性纤维；几乎不发酵","增加粪便体积；控制毛球；降低能量密度","猫粮粗纤维建议≤5%；减肥粮常用","猫狗通用","几乎无营养价值；主要作填充和纤维源","否","常用于减肥配方降低能量密度"
"菊苣根","Chicory Root","纤维","可溶性纤维","植物源","纤维","富含菊粉（天然益生元）；可溶性纤维","益生元作用；促进有益菌；增强免疫","FOS含量约0.3%-0.5%","猫狗通用","过量可能引起胀气","否","天然FOS来源；同时是益生元"
"车前子壳","Psyllium Husk","纤维","可溶性纤维","植物源","纤维","高持水性可溶纤维；温和通便","调节粪便质地；缓解便秘和腹泻","处方粮常用；用量约0.5%-1%","猫狗通用","需充足饮水；过量可能阻塞","否","肠胃处方粮常用纤维源；圆苞车前子壳"
"南瓜","Pumpkin","纤维","膳食纤维","植物源","纤维","含可溶和不可溶纤维；富含β-胡萝卜素","调节肠道；缓解便秘腹泻；护眼","猫粮粗纤维建议≤5%","猫狗通用","温和的天然纤维源","否","常以南瓜粉形式添加"
"果寡糖","Fructooligosaccharides (FOS)","纤维","益生元","植物源/发酵","纤维","可溶性低聚糖；益生元；不被有害菌利用","促进双歧杆菌等有益菌增殖；增强免疫；改善肠道","处方粮FOS含量约0.35%","猫狗通用","过量可能引起胀气软便","否","研究最深入的益生元之一；常与MOS复配"
"甘露寡糖","Mannanooligosaccharides (MOS)","纤维","益生元","发酵（酵母细胞壁）","纤维","源自酿酒酵母细胞壁；益生元","吸附病原菌；增强免疫；调节菌群","处方粮MOS含量约0.19%","猫狗通用","安全性高","否","与FOS复配形成双重益生元体系"
"维生素A","Vitamin A (Retinol)","维生素","脂溶性维生素","合成/动物源","维生素","脂溶性维生素；猫无法将β-胡萝卜素转化为VA","维持视力；支持皮肤和上皮组织；促进生长","猫粮9000 IU/kg（幼）/5000 IU/kg（成）；上限750000 IU/kg","猫狗通用","猫必须直接摄入预制VA；过量中毒（骨骼异常、肝损伤）","否","猫缺乏转化β-胡萝卜素能力；必须动物源VA"
"维生素D3","Vitamin D3 (Cholecalciferol)","维生素","脂溶性维生素","合成/动物源","维生素","脂溶性维生素；调节钙磷代谢","促进钙磷吸收；维持骨骼健康；支持免疫","猫粮750 IU/kg（幼）/500 IU/kg（成）；上限10000 IU/kg","猫狗通用","过量中毒（高钙血症、软组织钙化）；猫无法通过皮肤合成","否","猫不能像人一样通过阳光合成VD"
"维生素E","Vitamin E (Tocopherol)","维生素","脂溶性维生素","合成/植物源","维生素","脂溶性抗氧化维生素；保护细胞膜","抗氧化；保护脂肪酸；支持免疫；天然防腐剂","猫粮≥30 IU/kg；犬粮≥50 IU/kg","猫狗通用","相对安全；高剂量鱼油时需增加VE","否","常以混合生育酚形式同时作抗氧化剂"
"维生素K","Vitamin K","维生素","脂溶性维生素","合成","维生素","脂溶性维生素；参与凝血因子合成","促进凝血；支持骨骼代谢","猫粮≥0.1 mg/kg","猫狗通用","维生素K3（甲萘醌）高剂量有毒性；优选K1","是","VK3（甲萘醌）有肝毒性争议；天然K1更安全"
"维生素B1","Vitamin B1 (Thiamine)","维生素","水溶性维生素","合成","维生素","水溶性维生素；辅酶；猫易缺乏","参与能量代谢；维持神经功能；支持食欲","猫粮≥5.0 mg/kg；犬粮≥1.0 mg/kg","猫狗通用","猫对B1需求高；高温和鱼制品中硫胺素酶可破坏B1","否","猫缺乏B1可致神经症状；生鱼含硫胺素酶"
"维生素B2","Vitamin B2 (Riboflavin)","维生素","水溶性维生素","合成","维生素","水溶性维生素；参与能量代谢","参与氧化还原反应；维护皮肤和黏膜健康","猫粮≥4.0 mg/kg；犬粮≥2.0 mg/kg","猫狗通用","相对安全；水溶性不易蓄积","否","B族维生素之一"
"维生素B6","Vitamin B6 (Pyridoxine)","维生素","水溶性维生素","合成","维生素","水溶性维生素；参与氨基酸代谢","参与蛋白质代谢；支持神经和免疫","猫粮≥4.0 mg/kg；犬粮≥1.0 mg/kg","猫狗通用","相对安全","否","参与氨基酸代谢的关键辅酶"
"维生素B12","Vitamin B12 (Cobalamin)","维生素","水溶性维生素","合成/发酵","维生素","水溶性维生素；含钴；参与造血","促进红细胞生成；支持神经；参与能量代谢","猫粮≥0.02 mg/kg；犬粮≥0.022 mg/kg","猫狗通用","猫肠胃疾病常伴B12缺乏；需注射补充","否","猫咪IBD等肠胃病常需额外补充B12"
"泛酸","Pantothenic Acid (Vitamin B5)","维生素","水溶性维生素","合成","维生素","水溶性维生素；辅酶A组成成分","参与能量代谢；支持肾上腺功能","猫粮≥5.0 mg/kg；犬粮≥10 mg/kg","猫狗通用","相对安全","否","常以D-泛酸钙形式添加"
"烟酸","Niacin (Vitamin B3)","维生素","水溶性维生素","合成/动物源","维生素","水溶性维生素；猫无法由色氨酸合成","参与能量代谢；维护皮肤和神经","猫粮≥60 mg/kg；犬粮≥11 mg/kg","猫狗通用","猫必须直接摄入烟酸；过量可能肝损伤","否","猫不能由色氨酸转化烟酸；必须食物来源"
"叶酸","Folic Acid (Vitamin B9)","维生素","水溶性维生素","合成","维生素","水溶性维生素；参与一碳代谢","促进细胞分裂；支持造血；孕期必需","猫粮≥0.8 mg/kg；犬粮≥0.18 mg/kg","猫狗通用","相对安全；繁殖期需求增加","否","常以天然叶黄素或叶酸形式添加"
"生物素","Biotin (Vitamin B7)","维生素","水溶性维生素","合成/动物源","维生素","水溶性维生素；参与脂肪和糖代谢","维护皮肤和毛发；支持代谢","猫粮≥0.07 mg/kg；犬粮≥0.1 mg/kg","猫狗通用","生蛋清含抗生物素蛋白可结合生物素","否","生鸡蛋清长期食用可致生物素缺乏"
"胆碱","Choline","维生素","类维生素","合成","维生素","类维生素；构成磷脂；参与神经传导","支持肝功能；构成神经递质；脂肪代谢","猫粮≥2400 mg/kg；犬粮≥1200 mg/kg","猫狗通用","常以氯化胆碱形式添加","否","需求量最大的B族样物质"
"牛磺酸","Taurine","维生素","含硫氨基酸","动物源","氨基酸","含硫氨基酸；猫无法自身合成；必需营养","维持视网膜和心肌功能；支持生殖和免疫","猫粮干粮≥0.1%；罐头≥0.2%；推荐≥0.2%","猫","猫必需氨基酸；缺乏致扩张型心肌病（DCM）和视网膜变性（失明）","否","猫核心必需营养；缺乏造成不可逆损伤；水溶性过量可经尿排出"
"钙","Calcium (Ca)","矿物质","常量矿物质","合成/动物源","矿物质","常量矿物质；构成骨骼和牙齿","维持骨骼牙齿；神经传导；肌肉收缩；凝血","猫粮1.0%（幼）/0.6%（成）；钙磷比1.1:1-1.4:1","猫狗通用","过量影响磷锌铁吸收；幼犬过量致骨骼畸形","否","钙磷比是关键指标；建议1.1:1-1.4:1"
"磷","Phosphorus (P)","矿物质","常量矿物质","合成/动物源","矿物质","常量矿物质；与钙协同；构成骨骼","构成骨骼；参与能量代谢；细胞膜成分","猫粮0.8%（幼）/0.5%（成）；钙磷比1.1:1-1.4:1","猫狗通用","肾病宠物需严控磷；过量加重肾脏负担","否","肾病处方粮需严格控制磷含量"
"钠","Sodium (Na)","矿物质","常量矿物质","合成","矿物质","常量矿物质；维持体液平衡","维持渗透压；神经传导；水分平衡","猫粮≥0.2%；犬粮≥0.08%","猫狗通用","过量增加肾脏负担和泪痕；低盐配方更好","否","低盐配方有助于减少泪痕和肾脏负担"
"钾","Potassium (K)","矿物质","常量矿物质","合成","矿物质","常量矿物质；细胞内主要阳离子","维持细胞内渗透压；神经肌肉功能；心脏节律","猫粮≥0.6%；犬粮≥0.6%","猫狗通用","肾病宠物易低钾；需监测补充","否","慢性肾病猫常需补钾"
"镁","Magnesium (Mg)","矿物质","常量矿物质","合成","矿物质","常量矿物质；参与多种酶反应","支持骨骼；神经肌肉功能；能量代谢","猫粮0.08%（幼）/0.04%（成）；犬粮≥0.04%","猫狗通用","猫过量镁可能增加尿路结石（鸟粪石）风险","是","与猫下泌尿道疾病相关；需控制用量"
"铁","Iron (Fe)","矿物质","微量矿物质","合成/动物源","矿物质","微量矿物质；血红蛋白组成","构成血红蛋白；氧运输；酶的组成","猫粮≥80 mg/kg；犬粮≥40 mg/kg","猫狗通用","过量中毒；猫对铁敏感","否","常以氨基酸铁络合物等形式添加"
"锌","Zinc (Zn)","矿物质","微量矿物质","合成","矿物质","微量矿物质；参与多种酶","支持皮肤毛发；免疫；伤口愈合","猫粮≥75 mg/kg；上限2000 mg/kg；犬粮≥120 mg/kg","猫狗通用","过量影响铜铁吸收；缺锌致皮肤问题","否","常以氨基酸锌络合物形式添加"
"铜","Copper (Cu)","矿物质","微量矿物质","合成","矿物质","微量矿物质；参与造血和酶","参与铁代谢；构成抗氧化酶；支持毛色","猫粮≥5 mg/kg；犬粮≥2 mg/kg","猫狗通用","过量致肝毒性（部分犬种如贝灵顿梗易蓄积）","是","某些犬种有铜蓄积遗传病；需控制"
"锰","Manganese (Mn)","矿物质","微量矿物质","合成","矿物质","微量矿物质；参与酶和骨骼形成","支持骨骼；参与糖脂代谢；抗氧化","猫粮≥7.5 mg/kg；犬粮≥5 mg/kg","猫狗通用","相对安全","否","常以氨基酸锰络合物形式添加"
"硒","Selenium (Se)","矿物质","微量矿物质","合成/植物源","矿物质","微量矿物质；谷胱甘肽过氧化物酶组成","抗氧化；与VE协同；支持免疫","猫粮≥0.1 mg/kg；犬粮≥0.11 mg/kg","猫狗通用","过量中毒（硒中毒）；安全范围窄","否","与维生素E有协同抗氧化作用"
"碘","Iodine (I)","矿物质","微量矿物质","合成/动物源","矿物质","微量矿物质；甲状腺激素组成","构成甲状腺激素；调节代谢","猫粮≥0.35 mg/kg；犬粮≥0.15 mg/kg","猫狗通用","过量致甲状腺功能异常；猫甲状腺亢进风险","否","海带和海鱼是天然碘源"
"赖氨酸","Lysine","氨基酸","必需氨基酸","合成/动物源","氨基酸","必需氨基酸；猫狗无法合成","促进生长；蛋白质合成；钙吸收","猫粮≥0.83%（成）/1.20%（幼）；犬粮≥0.63%","猫狗通用","谷物蛋白中赖氨酸含量低；需动物蛋白补充","否","常以L-赖氨酸形式添加"
"蛋氨酸","Methionine","氨基酸","含硫必需氨基酸","合成","氨基酸","含硫必需氨基酸；甲基供体","蛋白质合成；支持肝功能；毛发健康","猫粮蛋氨酸+胱氨酸≥1.10%；蛋氨酸上限1.5%","猫狗通用","过量可能酸化尿液；影响生长","否","常以DL-蛋氨酸形式添加"
"色氨酸","Tryptophan","氨基酸","必需氨基酸","合成/动物源","氨基酸","必需氨基酸；血清素前体","支持神经；调节情绪；睡眠","猫粮≥0.16%（成）/0.25%（幼）；犬粮≥0.13%","猫狗通用","猫无法由色氨酸合成烟酸","否","烟酸和血清素的前体"
"苏氨酸","Threonine","氨基酸","必需氨基酸","合成","氨基酸","必需氨基酸；参与蛋白质合成","蛋白质合成；支持免疫和肠道","猫粮≥0.73%；犬粮≥0.48%","猫狗通用","相对安全","否","必需氨基酸之一"
"精氨酸","Arginine","氨基酸","必需氨基酸","合成/动物源","氨基酸","必需氨基酸；猫狗均无法合成","尿素循环关键；解毒；支持免疫","猫粮≥1.04%（成）/1.25%（幼）；犬粮≥0.51%","猫狗通用","猫对精氨酸极度敏感；缺乏迅速致死","否","猫缺乏精氨酸可致高血氨症；狗比猫需求低"
"半胱氨酸","Cysteine","氨基酸","含硫氨基酸","合成/动物源","氨基酸","含硫氨基酸；可与蛋氨酸互转","蛋白质合成；抗氧化（谷胱甘肽前体）；毛发","猫粮蛋氨酸+胱氨酸≥1.10%","猫狗通用","毛发主要含硫氨基酸","否","毛发的关键成分；与蛋氨酸可相互转化"
"混合生育酚","Mixed Tocopherols","添加剂","天然防腐剂","植物源","添加剂","天然维生素E混合物（α/β/γ/δ）；抗氧化","天然防腐；抗氧化；保护脂肪","无明确上限；作为防腐剂常用","猫狗通用","耐热性不如合成防腐剂；需配合其他天然抗氧化","否","优质粮首选天然防腐剂；安全无副作用"
"迷迭香提取物","Rosemary Extract","添加剂","天然防腐剂","植物源","添加剂","植物提取物；天然抗氧化","天然防腐；抗氧化；抗菌","作为天然防腐剂；用量约0.01%-0.05%","猫狗通用","少数宠物可能对迷迭香敏感引发癫痫（争议）","是","天然抗氧化剂；少数报告称可能诱发宠物癫痫"
"抗氧化剂","Antioxidants","添加剂","防腐剂","合成/植物源","添加剂","防止脂肪氧化的成分；天然与合成两类","防止油脂酸败；延长保质期；保护营养","合成防腐剂BHA/BHT总量≤150ppm（日本标准）","猫狗通用","合成抗氧化剂有争议；优选天然抗氧化","是","BHA/BHT/乙氧基喹啉为合成；生育酚/迷迭香为天然"
"枯草芽孢杆菌","Bacillus subtilis","添加剂","益生菌","发酵","添加剂","芽孢杆菌益生菌；耐高温耐胃酸","调节肠道菌群；抑制有害菌；增强免疫","益生菌添加量通常≥1×10^9 CFU/kg","猫狗通用","相对安全；与抗生素同服可能影响效果","否","常用益生菌；芽孢形式耐储存"
"乳酸菌","Lactobacillus","添加剂","益生菌","发酵","添加剂","乳酸菌益生菌；维持肠道微生态","改善消化；缓解软便；增强免疫","益生菌添加量通常≥1×10^9 CFU/kg","猫狗通用","不耐高温；需在膨化后添加","否","常以粪链球菌、嗜酸乳杆菌等形式添加"
"益生元","Prebiotics","添加剂","益生元","植物源/发酵","添加剂","不被消化的低聚糖；有益菌食物","促进有益菌增殖；改善肠道；增强免疫","FOS+MOS常用量0.3%-0.5%","猫狗通用","过量可能引起胀气","否","FOS和MOS是最常用益生元"
"酵母提取物","Yeast Extract","添加剂","风味/营养","发酵","添加剂","酵母水解物；富含B族维生素和核酸","提升适口性；提供核酸；支持免疫","作为天然诱食剂和营养源","猫狗通用","优质天然诱食剂；替代人工诱食剂","否","啤酒酵母粉是常见形式；安全天然"
