"disease_name","parasite_type","parasite_name","latin_name","susceptible_species","transmission","parasite_location","symptoms","diagnosis","treatment_drugs","prevention","is_zoonotic","notes"
"贾第鞭毛虫病","体内寄生虫","蓝氏贾第鞭毛虫","Giardia lamblia","犬;猫;人;多种哺乳动物","粪口传播(污染水、食物);接触病畜粪便;包囊环境抵抗力强;多猫多犬环境高发","小肠(十二指肠、空肠)","慢性或间歇性腹泻(恶臭、灰白色、脂肪泻、黏液);腹胀、腹痛、食欲下降、体重下降;幼龄发育不良;猫慢性腹泻常见原因;多数无症状携带","粪便查包囊或滋养体(硫酸锌漂浮法、直接涂片,需多次检测);ELISA抗原检测;PCR(最敏感);排除三毛滴虫","芬苯达唑(50mg/kg,5天)、甲硝唑(25mg/kg,每日2次,5-7天)、罗硝唑(猫,效果较好);对症(补液、止泻);环境消毒","定期驱虫;不饮生水;食物彻底清洗;环境消毒(包囊对一般消毒剂耐受,需煮沸或季铵盐);病畜隔离;多猫多犬环境管理","是","人畜共患病(但人源与动物源基因型常不同);包囊在环境可存活数月;慢性腹泻主因;幼龄动物易感;复发常见;治疗需同时环境消毒"
"球虫病","体内寄生虫","犬等孢球虫、猫等孢球虫、隐孢子虫等","Isospora canis; Isospora felis; Cystoisospora spp.","犬;猫(幼龄高发)","食入感染性卵囊(粪便污染环境、食物、水);母传仔;污染物","小肠黏膜上皮细胞(细胞内寄生)","幼龄:水样或黏液性腹泻(常带血)、脱水、消瘦、发育迟缓、厌食、呕吐;严重致死亡;成龄多无症状;常为应激诱发(断奶、换环境、运输)","粪便漂浮法查卵囊(糖浮聚法);PCR;粪便直接涂片;排除贾第鞭毛虫、细小病毒","托曲珠利(首选,犬猫)、磺胺二甲嘧啶、氨丙啉、地克珠利;支持疗法(补液、电解质);对症;环境消毒","定期驱虫;环境清洁干燥;及时清理粪便(卵囊需孢子化才具感染性);减少应激;隔离病畜;幼龄重点防护","否(犬猫等孢球虫不感染人;隐孢子虫另述)","球虫在细胞内寄生驱杀困难;卵囊对消毒剂抵抗力强(需蒸汽清洁或10%氨水);断奶、运输等应激诱发;多猫/犬舍高发;治疗后易复发需重复检测"
"三毛滴虫病(猫)","体内寄生虫","胎儿三毛滴虫","Tritrichomonas foetus","猫(幼猫、纯种猫、多猫环境高发)","粪口传播(共用猫砂盆);污染物;直接接触","大肠(结肠)","慢性顽固性腹泻(恶臭、带黏液、偶带血);肛门周围污秽;体重下降但食欲常正常;病程可持续数月至数年;猫舍、纯种猫高发","粪便PCR(最敏感、确诊);培养(InPouch TF培养);镜检(滋养体,易与贾第鞭毛虫混淆);需多次粪便检查","罗硝唑(Ronidazole,30mg/kg每日1次,14天,猫首选,注意神经毒性);甲硝唑(效果差);对症(止泻、补液);益生菌;环境消毒","降低猫群密度;隔离病猫;每日清理猫砂盆;环境消毒;新猫隔离筛查;纯种猫繁育前筛查","否","猫专属;纯种猫、多猫环境高发;慢性腹泻主因之一;诊断需PCR(易漏检);罗硝唑有神经毒性需谨慎;治疗后可能持续携带;与贾第鞭毛虫鉴别"
"弓形虫病","体内寄生虫","刚地弓形虫","Toxoplasma gondii","猫(唯一终宿主,有性繁殖);犬及多种哺乳动物、人(中间宿主)","猫粪排出卵囊(猫科独有);食入含包囊未煮熟肉类;接触污染土壤、猫砂(卵囊24小时后具感染性);母婴垂直传播;输血","猫:肠上皮(有性)及全身组织(无性);中间宿主:全身有核细胞(脑、肌肉、视网膜等)","猫多无症状;幼龄或免疫低下:发热、厌食、肺炎、肝炎、眼炎、神经症状;犬:类似;人免疫正常多无症状(淋巴结肿大、低热);孕妇初次感染致胎儿畸形、流产、脑积水、视网膜脉络膜炎;免疫低下致脑炎","血清学(IgG、IgM、IgA,排除);PCR(血、组织、羊水);组织活检(弓形虫);CT/MRI(脑病变);眼底检查;排除其他病因","磺胺嘧啶+乙胺嘧啶(标准,需补充叶酸);克林霉素;螺旋霉素(孕妇);阿奇霉素;支持疗法;猫治疗指征有限","猫不喂生肉、生猎物;每日清理猫砂(关键,卵囊24小时后才感染性);孕妇避免清理猫砂;肉类彻底煮熟;接触土壤戴手套;洗手;猫绝育减少捕猎","是","猫为唯一终宿主;我国人群感染率约5%-10%;食用未煮熟肉类是人主要感染途径(占67%);养猫本身不增加感染风险(除非直接接触新鲜猫粪);孕妇初次感染最危险"
"隐孢子虫病","体内寄生虫","微小隐孢子虫、犬隐孢子虫、猫隐孢子虫","Cryptosporidium parvum; C. canis; C. felis","犬;猫;人;多种哺乳动物","粪口传播(污染水、食物);接触病畜粪便;卵囊环境抵抗力强且对氯消毒耐受","小肠上皮细胞(细胞内);偶及其他器官","水样腹泻(主要);腹痛、恶心、呕吐、厌食、低热、体重下降;免疫正常者多自限(1-2周);免疫低下者(AIDS、化疗)慢性严重腹泻可致死;幼龄动物腹泻","粪便查卵囊(抗酸染色、改良Ziehl-Neelsen、免疫荧光);ELISA抗原检测;PCR(分型);排除贾第鞭毛虫、球虫","硝唑尼奈(Nitazoxanide,唯一FDA批准,效果有限);巴龙霉素;阿奇霉素(免疫低下者);对症(补液、电解质);免疫重建;环境消毒(卵囊耐氯,需煮沸、蒸汽、10%氨水)","不饮生水;食物彻底清洗;接触病畜粪便后洗手;环境消毒(煮沸、蒸汽);病畜隔离;免疫低下人群防护","是","人畜共患病;被WHO列入6种最常见腹泻病;卵囊对氯消毒耐受(自来水加氯无法杀灭);免疫低下者(AIDS)严重;水源性暴发常见;我国感染率1.4%-13.3%"
"跳蚤感染(蚤病)","体外寄生虫","猫栉首蚤(猫蚤)、犬栉首蚤(犬蚤)、人蚤","Ctenocephalides felis; Ctenocephalides canis; Pulex irritans","犬;猫;多种哺乳动物;人(偶可叮咬)","直接接触病畜或污染环境;跳蚤善跳跃(350倍体长);卵、幼虫、蛹在环境(地毯、缝隙)发育;蜱媒传播;跳蚤为犬复孔绦虫中间宿主","皮肤表面、被毛(成虫);环境(卵、幼虫、蛹)","剧烈瘙痒、搔抓、啃咬;过敏性皮炎(跳蚤过敏性皮炎FAD,最常见过敏性皮肤病);脱毛、红斑、丘疹、结痂、继发脓皮症;贫血(重度幼龄);绦虫感染(吞食带绦虫幼虫的跳蚤);猫粟粒性皮炎","体表检查发现跳蚤或其粪便(黑色颗粒遇水变红色);梳毛(蚤梳);排除其他瘙痒性皮肤病;过敏性皮炎检测","外用:塞拉菌素、氟雷拉纳、阿福拉纳、非泼罗尼、吡虫啉、茚虫威;口服:尼替比农、洛替兰;药浴;环境喷洒(昆虫生长调节剂);同时驱绦虫","每月体外驱虫(全年);环境清洁消毒(吸尘、洗涤、杀虫剂);所有宠物同治;灭鼠;预防为主;注意环境幼虫(地毯、缝隙)","是(猫栉首蚤可叮咬人;传播猫抓病、鼠疫、地方性斑疹伤寒)","跳蚤是最常见体外寄生虫;城市宠物感染率达78.9%;一只雌蚤日产卵20-30枚;生命周期2-3周可数百只;是犬复孔绦虫中间宿主;过敏性皮炎最常见;环境治理与宠物驱虫并重"
"蜱虫感染(蜱病)","体外寄生虫","血红扇头蜱(褐犬蜱)、肩突硬蜱、变异革蜱(美洲犬蜱)、长角血蜱等","Rhipicephalus sanguineus; Ixodes scapularis; Dermacentor variabilis; Haemaphysalis longicornis","犬;猫(少见);人;多种哺乳动物","直接接触污染环境(草地、灌木、犬舍);蜱附着皮肤吸血;犬舍、墙缝为褐犬蜱孳生地;不直接犬间传播","皮肤表面(成虫、若虫、幼虫附着吸血);耳廓、趾间、腹股沟等","叮咬处红肿、炎症、结节;大量寄生致贫血;皮肤溃疡、继发感染;蜱麻痹(神经毒素);传播多种蜱传病:巴贝斯虫、埃立克体、莱姆病、无形体病、肝簇虫;蜱传脑炎","体表检查发现蜱(肉眼可见,附着皮肤);排除其他皮肤病;蜱传病筛查(若怀疑)","机械摘除(镊子贴近皮肤垂直拔出,避免口器残留);外用:塞拉菌素、氟雷拉纳、阿福拉纳、非泼罗尼、吡虫啉、茚虫威;口服:尼替比农、洛替兰;环境喷洒;蜱传病对症治疗","每月体外驱虫(全年,流行区);避免蜱高发区(草地、灌木);定期检查体表(户外活动后);环境灭蜱(犬舍、墙缝);蜱暴露后24小时内摘除可降低感染风险","是(蜱可叮咬人并传播多种疾病)","蜱是「病原体库」,可传播8大类病原;蜱麻痹(神经毒素)可致死;褐犬蜱可在室内犬舍繁殖;我国蜱传病高发;摘除蜱需小心避免口器断裂;15℃以上蜱活跃"
"耳螨病(耳痒螨病)","体外寄生虫","猫耳痒螨、犬耳螨","Otodectes cynotis","猫(最常见);犬;偶感染人(短暂)","直接接触病畜;污染物(共用寝具、梳具);耳螨在环境中可存活数周","外耳道、耳廓皮肤(表面寄生)","剧烈耳部瘙痒、甩头、抓耳;耳道大量黑褐色干燥咖啡渣样分泌物;耳廓脱毛、红斑、结痂;外耳道炎;继发细菌、真菌感染;耳血肿(搔抓致)","耳道分泌物镜检(耳痒螨成虫、虫卵、幼虫);耳镜检查;排除其他外耳道炎;耳道培养(继发感染)","耳道清洁(耳漂)+耳用杀螨药(塞拉菌素、莫西菌素、伊维菌素耳药水、康奈尔);全身驱虫(塞拉菌素、莫西菌素、伊维菌素);所有同居宠物同治;继发感染用抗生素/抗真菌","定期体外驱虫(塞拉菌素、莫西菌素);不共用寝具、梳具;新猫隔离检查;环境清洁;所有宠物同治(关键)","是(偶感染人,短暂轻微瘙痒)","猫最常见耳病;耳痒螨生活史3周;所有同居宠物必须同治(无症状携带);治疗需持续3-4周(覆盖螨虫生活史);环境消毒重要"
"蠕形螨病(毛囊虫病)","体外寄生虫","犬蠕形螨、猫蠕形螨","Demodex canis; Demodex cati","犬(尤以幼犬、免疫低下);猫","母犬传仔犬(出生后接触);正常共生螨,免疫低下时过度繁殖;不直接传染(除母传仔);犬猫种属特异性","毛囊、皮脂腺(深部寄生)","局部:脱毛(眼周、口周、前肢)、红斑、皮屑、毛囊丘疹、色素沉着;全身:广泛脱毛、红斑、脓皮症、瘙痒、皮肤增厚、结节、继发感染;猫:耳部、头部、 chin粉刺;免疫低下诱发","深刮皮屑镜检(成虫、虫卵、幼虫);拔毛镜检;真菌培养(排除癣);细菌培养(继发感染);排除其他脱毛原因","伊维菌素(0.3-0.6mg/kg每日,柯利犬禁用)、米尔贝肟、莫西菌素、多拉菌素、阿米曲士(双甲脒,药浴);继发感染用抗生素;支持疗法;增强免疫","母犬筛查(繁殖前);增强免疫;减少应激;营养均衡;绝育(发病犬);不喂生肉;定期驱虫","否(蠕形螨种属特异性,不感染人)","正常共生螨(所有犬猫携带);免疫低下、应激、幼龄、营养不全诱发;柯利犬MDR1基因突变禁用伊维菌素;局部型多自愈;全身型需长期治疗;猫老年发病提示潜在疾病"
"疥螨病(疥癣)","体外寄生虫","犬疥螨、猫疥螨(猫耳疥螨Notoedres cati)","Sarcoptes scabiei var. canis; Notoedres cati","犬;猫;人(暂时的)","直接接触病畜;污染物(共用寝具、梳具);疥螨在环境中可存活数天;高度传染性","皮肤表皮层(雌螨在角质层挖隧道)","剧烈瘙痒(最显著);丘疹、红斑、结痂、脱毛;皮肤增厚、色素沉着;自损性皮炎;耳缘、肘、腹部多发;猫:耳廓、面部、足部;高度传染","深刮皮屑镜检(螨虫、虫卵、粪便球,但假阴性率高);临床症征(剧烈瘙痒);排除跳蚤过敏;试用性诊断(治疗反应);血清学","伊维菌素(0.2-0.4mg/kg,每周1-2次,柯利犬禁用)、米尔贝肟、莫西菌素、塞拉菌素、阿米曲士(双甲脒药浴);所有同居宠物同治;环境消毒;继发感染用抗生素","隔离病畜;不共用寝具、梳具;所有宠物同治(关键);环境消毒(热水清洗、杀螨剂);新犬猫隔离检查;接触病畜后换衣洗手","是(犬疥螨可暂时感染人致瘙痒,但不能完成生活史)","高度传染性;剧烈瘙痒标志性;螨虫在角质层挖隧道;假阴性率高需多次深刮;所有宠物及环境必须同治;治疗需持续4-6周(覆盖生活史);猫耳疥螨(Notoedres)感染猫面部"
"姬螯螨病(行走性皮屑)","体外寄生虫","兔姬螯螨(猫)、犬姬螯螨","Cheyletiella yasguri; Cheyletiella parasitivorax","犬;猫;兔;人(暂时)","直接接触病畜;污染物(共用寝具、梳具);高度传染性;虫体在环境中可存活数天","皮肤表面(不挖洞,在角质层表面)","皮屑增多（「行走性皮屑」特征,皮屑中可见移动的螨虫);轻度瘙痒(比疥螨轻);背部、腰部多发性皮屑、脱毛、红斑、丘疹;猫可无症状携带;人接触后手臂、腹部皮疹","皮肤表面皮屑镜检(可见大型螨虫,0.5mm,有特征性钩状口器);透明胶带粘取;梳毛;排除真菌、其他螨虫","伊维菌素(柯利犬禁用)、米尔贝肟、莫西菌素、塞拉菌素、阿米曲士(双甲脒)药浴;所有同居宠物(含兔)同治;环境消毒","隔离病畜;不共用寝具、梳具;所有宠物(含兔)同治;环境消毒;新宠物隔离检查","是(可暂时感染人致皮疹)","特征性「行走性皮屑」;虫体较大可见;轻度瘙痒区别于疥螨;高度传染性;多宠物家庭(含兔)需全部治疗;治疗后环境清洁重要"
"虱子感染(虱病)","体外寄生虫","犬啮毛虱、犬血虱、猫啮毛虱","Trichodectes canis; Linognathus setosus; Felicola subrostratus","犬;猫(种属特异性)","直接接触病畜;污染物(共用梳具、寝具);虱子高度宿主特异性;虫卵附着毛发","皮肤表面、被毛(成虫);毛发(虫卵)","瘙痒、搔抓;被毛粗乱、脱毛;皮肤红斑、丘疹、结痂;继发感染;啮毛虱致被毛断裂、皮屑;血虱吸血致贫血(重度);犬啮毛虱为犬复孔绦虫中间宿主","体表检查发现虱子(肉眼可见1-5mm)或虫卵(附着毛发);梳毛镜检;排除跳蚤、螨虫","外用:塞拉菌素、氟雷拉纳、阿福拉纳、非泼罗尼、吡虫啉;药浴;所有同居宠物同治;环境清洁;同时驱绦虫(若为啮毛虱)","定期体外驱虫;不共用梳具、寝具;环境清洁消毒;新宠物隔离检查;所有宠物同治","否(虱子高度宿主特异性,不感染人)","虱子高度宿主特异性(犬猫不互传,不传人);犬啮毛虱为犬复孔绦虫中间宿主;血虱吸血可致贫血;虫卵附着毛发需多次治疗;室内宠物少见"
"恙螨感染(恙螨病)","体外寄生虫","恙螨( Trombiculidae 科,秋新恙螨)","Trombicula autumnalis; Leptotrombidium spp.","犬;猫;人;多种动物","幼虫期寄生(成虫自由生活);接触污染草地、灌木、落叶;幼虫附着皮肤吸血;经卵传播恙虫病(东方立克次体)","皮肤表面(幼虫附着,耳廓、趾间、腹部、腹股沟);环境(成虫自由生活)","剧烈瘙痒(幼虫唾液致过敏);皮肤红色丘疹、红斑、结痂、脱毛;耳廓、趾间、腹部多见;继发感染;人:恙虫病(高热、焦痂、皮疹、淋巴结肿大)","皮肤检查发现橙红色幼虫(肉眼可见0.2-0.5mm,常聚集);临床症征;流行季节(夏秋);排除跳蚤、螨虫","外用驱虫药(塞拉菌素、氟雷拉纳、非泼罗尼、吡虫啉);药浴;止痒;继发感染用抗生素;对症","避免恙螨高发区(草地、灌木、落叶);每月体外驱虫;环境清洁;流行季节检查体表;人防护(长袖、驱虫剂)","是(传播恙虫病东方立克次体,我国南方高发)","幼虫期寄生(成虫自由生活);秋新恙螨致皮炎;地里纤恙螨传播恙虫病(我国南方高发);幼虫附着3-5天饱食后脱落;夏秋高发"
"棘球蚴病(包虫病)","体内寄生虫","细粒棘球绦虫幼虫(棘球蚴)、多房棘球绦虫幼虫(泡球蚴)","Echinococcus granulosus; Echinococcus multilocularis","犬(终宿主,成虫);人及羊、牛、猪(中间宿主,棘球蚴)","犬食入含棘球蚴的动物内脏(羊、牛)感染;人食入犬粪中虫卵污染食物、水、土壤;犬粪污染牧场、皮毛;手-口传播","中间宿主:肝、肺、脑等器官(棘球蚴囊);终宿主犬:小肠(成虫)","犬(成虫)多无症状;人(棘球蚴):肝囊肿(腹胀、腹痛、黄疸)、肺囊肿(咳嗽、咯血)、过敏反应;囊肿破裂致过敏性休克、继发感染;多房棘球蚴更恶性(浸润性,似癌)","影像学(B超、CT、MRI,典型囊肿);血清学(ELISA、IHA);PCR;排除肝癌、肝囊肿;犬粪查虫卵(终宿主)","人:阿苯达唑、甲苯咪唑(长期);手术切除囊肿(主要,PAIR穿刺抽吸);犬(成虫):吡喹酮、阿苯达唑;对症","犬不喂生内脏(羊、牛、猪);犬定期驱绦虫(每6周);犬粪无害化处理;人接触犬后洗手;不饮生水;食物清洗;流行区犬筛查","是(人棘球蚴病严重,我国西北牧区高发)","人畜共患病;我国西北牧区(新疆、青海、西藏、内蒙)高发;犬为终宿主;羊、牛为中间宿主;人多器官受累(肝最常见);多房棘球蚴更致命(浸润性似癌,肝);预防关键:犬不喂生内脏+定期驱绦虫+犬粪处理"
