"display_name","alias","category","origin","size","weight_min","weight_max","body_length_min","body_length_max","height_min","height_max","coat_type","lifespan_min","lifespan_max","personality","nutrition_notes","common_risks","disease_resistance","exercise_need","suitable_for","notes"
"沙皮狗","中国沙皮犬，沙皮","中国本土犬种","中国广东","中型犬","18","25","","","46","51","短毛(褶皱)","9","12","冷静，忠诚，独立，警惕，威严","均衡饮食，注意蛋白质摄入","皮肤病(褶皱感染)，眼睑内翻，发热综合征，关节问题，耳部感染","中等","中等","有经验犬主","皮肤褶皱需经常清洁干燥，中国古老犬种"
"松狮犬","松狮，熊狗","中国本土犬种","中国北方","大型犬","20","32","","","46","56","长毛，双层毛","8","12","独立，高傲，忠诚，固执，像猫","注意饮食，易过敏，避免过量蛋白质","眼睑内翻，髋关节发育不良，胃扭转，皮肤病，甲状腺问题","中等","中等","有经验犬主","蓝紫色舌头为特征，性格独立，中国古老犬种"
"拉萨犬","拉萨阿普索","中国本土犬种","中国西藏","小型犬","5","8","","","25","28","长毛","12","15","警惕，忠诚，独立，活泼","注意体重，均衡饮食","眼部问题，肾病，皮肤病，耳部感染","中等","中等","公寓家庭","长毛需经常梳理，源于西藏，曾为寺院犬"
"藏獒","西藏獒犬，藏獒","中国本土犬种","中国西藏","巨型犬","45","73","","","61","72","长毛，双层毛","10","14","凶猛，忠诚，独立，领地意识强，护主","高蛋白，大型犬营养，注意钙磷平衡","髋关节发育不良，皮肤病，心脏病，胃扭转，甲状腺问题","较强(适应严寒)","高","有经验犬主，有院落家庭，护卫犬","高原犬种怕热，性格凶猛需专业训练，体型巨大"
"西藏梗","西藏梗犬","中国本土犬种","中国西藏","中型犬","9","14","","","36","45","长毛","12","15","友善，温和，敏感，聪明","均衡饮食，注意体重","眼部问题(白内障)，膝关节脱位，肾病，髋关节发育不良","中等","中等","家庭饲养","非真正梗犬(命名历史原因)，源于西藏寺院"
"西藏猎犬","西藏猎犬，祈祷犬","中国本土犬种","中国西藏","小型犬","4","7","","","25","28","长毛","12","15","友善，聪明，自信，活泼","注意体重，均衡饮食","眼部问题，膝关节脱位，心脏病","中等","中等","公寓家庭","非真正猎犬(名不副实)，源于西藏寺院，体型小巧"
"中国冠毛犬","中国冠毛犬，冠毛犬","中国本土犬种","中国(起源有争议)","小型犬","4","8","","","23","33","无毛，粉扑型(双层毛)","13","18","友善，活泼，粘人，聪明","注意皮肤护理，补充维生素E和不饱和脂肪酸","皮肤问题(晒伤，过敏)，牙齿问题(缺齿)，眼疾，膝关节脱位","中等","中等","公寓家庭，过敏人群(无毛型)","无毛型需防晒护肤，粉扑型需梳理，起源有争议"
"吉娃娃","吉娃娃，奇瓦瓦","玩具犬/小型犬","墨西哥","超小型犬","1","3","","","15","25","短毛，长毛","14","18","勇敢，忠诚，警觉，易吠叫，粘人","少食多餐，注意低血糖，避免高脂","低血糖，牙齿问题，膝盖脱位，心脏病，脑积水，气管塌陷","中等","低-中","公寓家庭，老年人","世界最小犬种，怕冷，寿命较长"
"博美","博美犬，松鼠犬","玩具犬/小型犬","德国","超小型犬","1.5","3.5","","","18","24","长毛，双层毛","12","16","活泼，聪明，警觉，易吠叫，自信","注意体重，补充毛发营养","气管塌陷，膝盖脱位，脱毛，心脏病，眼疾，皮肤病","中等","中等","公寓家庭","毛发蓬松需经常梳理，警觉爱叫"
"泰迪","贵宾犬，泰迪，贵宾","玩具犬/小型犬","法国，德国","小型犬","3","6","","","24","28","卷毛","12","15","聪明，活泼，粘人，易训练，机灵","注意毛发营养，补充Omega脂肪酸","膝关节脱位，进行性视网膜萎缩，耳部感染，癫痫，心脏病，眼疾","中等","中等","家庭饲养，过敏人群(低敏)","不掉毛需定期修剪，智商高，国内最受欢迎犬种之一"
"比熊","比熊犬，特内里费犬","玩具犬/小型犬","地中海地区","小型犬","3","6","","","24","29","卷毛","12","15","友善，活泼，温顺，粘人，开朗","注意泪痕饮食，避免含色素食物","泪痕，耳部感染，膝关节脱位，皮肤病，糖尿病，眼疾","中等","中等","家庭饲养，过敏人群(低敏)","不掉毛白色卷毛，易泪痕需注意饮食"
"马尔济斯","马尔济斯犬，魔天使","玩具犬/小型犬","地中海马耳他","超小型犬","1.5","4","","","20","25","长毛","12","15","温顺，活泼，勇敢，粘人，优雅","注意泪痕，少食多餐","泪痕，牙齿问题，膝关节脱位，心脏病，眼疾","中等","低-中","公寓家庭，老年人","长毛白色需经常梳理，最古老玩赏犬之一"
"约克夏梗","约克夏，约瑟梗","玩具犬/小型犬","英国","超小型犬","2","3.5","","","18","23","长毛","13","16","勇敢，活泼，警觉，粘人，自信","少食多餐，注意低血糖","气管塌陷，膝盖脱位，牙齿问题，低血糖，门脉分流，皮肤病","中等","中等","公寓家庭","长毛如丝需经常梳理，体型小寿命长"
"蝴蝶犬","蝴蝶犬，巴比伦犬","玩具犬/小型犬","法国，比利时","小型犬","2","5","","","20","28","长毛","13","15","聪明，活泼，友善，警觉，易训练","注意体重，均衡饮食","膝关节脱位，心脏病，眼疾，癫痫，牙齿问题","中等","中等","公寓家庭","耳朵如蝴蝶翅膀为特征，智商高易训练"
"意大利灰狗","意大利灵缇，意大利灰狗","玩具犬/小型犬","地中海，意大利","小型犬","3","6","","","32","38","短毛","14","15","敏捷，温顺，敏感，粘人，安静","注意体重，少食多餐","骨折(腿细)，牙齿问题，眼疾，癫痫，皮肤病","中等","中等","公寓家庭","体型最小的视觉猎犬，怕冷，腿细易骨折"
"波士顿梗","波士顿梗，美国绅士犬","玩具犬/小型犬","美国","小型犬","5","11","","","38","43","短毛","13","15","友善，活泼，聪明，温顺，粘人","注意体重，避免肥胖","呼吸问题(短鼻)，眼疾，打鼾，心脏病，膝关节脱位","中等","中等","公寓家庭","短鼻犬怕热，黑白斑纹似燕尾服，""美国绅士"""
"日本银狐","日本狐狸犬，银狐犬","玩具犬/小型犬","日本","小型犬","5","10","","","30","38","长毛，双层毛","12","15","聪明，活泼，警觉，忠诚，易吠叫","注意体重，均衡饮食","膝关节脱位，眼疾，心脏病，皮肤病","中等","中等","公寓家庭","白色长毛，警觉易吠，需早期训练控吠"
"查理王小猎犬","骑士查理王小猎犬，查理王","玩具犬/小型犬","英国","小型犬","5","8","","","30","33","长毛","9","14","温顺，友善，粘人，活泼，优雅","注意体重，均衡饮食","二尖瓣疾病(心脏病高发)，脊髓空洞症，眼疾，耳部感染，髋关节发育不良","较低(心脏病高发)","中等","家庭饲养，老年人","心脏病高发需定期心脏检查，性格极其温顺"
"迷你杜宾","迷你杜宾犬，小鹿犬","玩具犬/小型犬","德国","小型犬","3","5","","","25","30","短毛","13","15","活泼，勇敢，警觉，聪明，自信","注意体重，少食多餐","膝关节脱位，心脏病，眼疾，Legg-Calvé-Perthes病，皮肤病","中等","中等","公寓家庭","步态如小鹿，与杜宾无亲缘关系，精力旺盛"
"西高地白梗","西高地，西高地铁利亚","玩具犬/小型犬","英国苏格兰","小型犬","6","10","","","25","28","硬质毛，双层毛","12","16","活泼，勇敢，自信，友善，好奇","注意饮食过敏，避免高蛋白","皮肤病(过敏性皮炎)，Legg-Calvé-Perthes病，白狗摇晃综合征，眼疾，膝关节脱位","中等","中等","家庭饲养","白色硬质毛，皮肤易过敏需注意饮食"
"雪纳瑞","雪纳瑞，刚毛梗","梗犬","德国","小型/中型/大型犬","5","35","","","30","70","硬质毛，刚毛","12","15","聪明，警觉，忠诚，固执，精力旺盛","注意体重，低脂饮食防胰腺炎","胰腺炎，肾结石，心脏病，糖尿病，眼疾，皮肤病","中等","中等","家庭饲养","有迷你/标准/巨型三种体型，标志性胡须眉毛"
"凯恩梗","凯恩梗，石堆梗","梗犬","英国苏格兰","小型犬","4","7","","","23","33","硬质毛，双层毛","12","15","活泼，好奇，勇敢，固执，自信","注意体重，均衡饮食","眼疾(白内障)，膝关节脱位，皮肤病，皮肤病","中等","中等","家庭饲养","《绿野仙踪》多托西的犬种，小型工作梗犬"
"边境梗","边境梗","梗犬","英国苏格兰边境","小型犬","5","7","","","28","33","硬质毛，双层毛","12","15","温顺，活泼，友善，聪明，服从","注意体重，均衡饮食","心脏病，眼疾，膝关节脱位，皮肤病","中等","中等","家庭饲养","性格较温和的梗犬，适合家庭"
"澳洲梗","澳洲梗，澳大利亚梗","梗犬","澳大利亚","小型犬","5","7","","","23","28","硬质毛，双层毛","12","15","勇敢，活泼，警觉，忠诚，自信","注意体重，均衡饮食","膝关节脱位，眼疾，糖尿病，皮肤病，甲状腺问题","中等","中等","家庭饲养","澳洲培育的梗犬，小型工作犬"
"边境牧羊犬","边境牧羊犬，边牧","牧羊犬/工作犬","英国苏格兰边境","中型犬","14","22","","","46","53","长毛，双层毛","12","15","极聪明，精力旺盛，服从，工作欲强，敏感","高蛋白，运动量大需补充能量","髋关节发育不良，眼疾(CEA)，癫痫，MDR1基因突变，甲状腺问题","中等","极高","有经验犬主，运动爱好者，农场","公认最聪明犬种，需大量运动和智力刺激，易无聊拆家"
"德国牧羊犬","德牧，黑背","牧羊犬/工作犬","德国","大型犬","30","40","","","55","65","短毛，长毛，双层毛","10","13","聪明，忠诚，勇敢，服从，警觉，工作欲强","高蛋白，大型犬营养，注意钙磷平衡","髋关节发育不良，退行性脊髓病，胃扭转，消化问题，胰腺外分泌不足","中等","高","工作犬，军警犬，有经验犬主","优秀工作犬，遗传病较多需筛查，国内常见工作犬"
"澳大利亚牧羊犬","澳洲牧羊犬，澳牧","牧羊犬/工作犬","美国","中型犬","16","32","","","46","58","长毛，双层毛","12","15","聪明，精力旺盛，忠诚，工作欲强，敏捷","高蛋白，运动量大需补充能量","髋关节发育不良，眼疾，MDR1基因突变，癫痫，甲状腺问题","中等","极高","运动爱好者，农场","常有断尾，精力旺盛需大量运动，名字含澳洲但源于美国"
"喜乐蒂","喜乐蒂牧羊犬，谢德兰牧羊犬","牧羊犬/工作犬","英国谢德兰群岛","小型犬","6","12","","","33","41","长毛，双层毛","12","14","聪明，温顺，忠诚，敏感，警觉","注意体重，均衡饮食","眼疾(CEA)，皮肤病，心脏病，MDR1基因突变，皮肤病","中等","中等","家庭饲养","似小型柯利犬，聪明易训练，敏感需温和对待"
"比利时牧羊犬","比利时牧羊犬，格罗安达犬","牧羊犬/工作犬","比利时","大型犬","25","30","","","56","66","长毛，双层毛","12","14","聪明，警觉，忠诚，工作欲强，精力旺盛","高蛋白，运动量大需补充能量","髋关节发育不良，癫痫，眼疾，甲状腺问题，胃扭转","中等","高","工作犬，有经验犬主","含四个变种(格罗安达/特弗伦/马林诺/拉肯努瓦)，工作欲强"
"柯利犬","粗毛柯利，苏格兰牧羊犬","牧羊犬/工作犬","英国苏格兰","大型犬","22","34","","","56","66","长毛，双层毛","10","14","温顺，聪明，忠诚，友善，敏感","注意体重，均衡饮食","眼疾(CEA)，MDR1基因突变，皮肤病，胃扭转，皮肤病","中等","中-高","家庭饲养","《灵犬莱西》犬种，MDR1敏感需注意用药(如伊维菌素)"
"英国古代牧羊犬","古代牧羊犬，英国古代牧羊犬","牧羊犬/工作犬","英国","大型犬","27","45","","","56","61","长毛，双层毛","10","12","温顺，友善，聪明，憨厚，活泼","注意体重，大型犬营养","髋关节发育不良，眼疾，耳聋，心脏病，胃扭转","中等","中-高","家庭饲养","长毛遮眼为特征，需经常梳理，似""拖把"""
"伯恩山犬","伯尔尼兹山地犬，伯恩山","牧羊犬/工作犬","瑞士","大型犬","35","55","","","58","70","长毛，双层毛","7","10","温顺，忠诚，友善，冷静，憨厚","大型犬营养，注意体重，幼年控制钙摄入","髋关节发育不良，肿瘤(癌症高发)，胃扭转，肾病，肘关节发育不良","较低(癌症高发)","中等","家庭饲养","三色被毛为特征，寿命较短，癌症高发需注意"
"杜宾犬","杜宾，杜宾犬，多伯曼犬","牧羊犬/工作犬","德国","大型犬","30","45","","","61","72","短毛","10","13","聪明，忠诚，警觉，勇敢，服从，精力旺盛","高蛋白，注意体重","扩张型心肌病，VWD出血病，髋关节发育不良，胃扭转，眼疾","中等","高","工作犬，护卫犬，有经验犬主","优秀护卫犬，心脏病需定期筛查，体型优雅"
"罗威纳","罗威纳犬，罗威拿","牧羊犬/工作犬","德国","大型犬","35","60","","","56","69","短毛，双层毛","9","10","勇敢，忠诚，冷静，警觉，力量大，领地意识强","大型犬营养，注意体重，幼年控制生长速度","髋关节发育不良，心脏病，骨肉瘤，胃扭转，甲状腺问题","中等","高","有经验犬主，护卫犬","力量强大需严格训练社会化，常作护卫犬，寿命较短"
"巨型雪纳瑞","巨型雪纳瑞，大型刚毛梗","牧羊犬/工作犬","德国","大型犬","25","36","","","60","70","硬质毛，刚毛","12","15","聪明，忠诚，警觉，精力旺盛，勇敢","注意体重，低脂饮食防胰腺炎","髋关节发育不良，甲状腺问题，眼疾，胃扭转，皮肤病","中等","高","有经验犬主","雪纳瑞最大体型，工作犬，需大量运动"
"拳师犬","拳师犬，拳狮犬","牧羊犬/工作犬","德国","大型犬","25","32","","","53","63","短毛","10","12","活泼，忠诚，友善，精力旺盛，对孩子友善","注意体重，均衡饮食","心脏病(主动脉狭窄)，癌症，髋关节发育不良，甲状腺问题，胃扭转","中等","高","家庭饲养，运动爱好者","短鼻犬怕热，精力旺盛需大量运动，对孩子友善"
"柯基","威尔士柯基，彭布罗克柯基","牧羊犬/工作犬","英国威尔士","小型犬","10","14","","","25","30","双层毛","12","15","聪明，活泼，勇敢，固执，粘人","严格控制饮食，极易肥胖","椎间盘疾病(长背短腿)，髋关节发育不良，肥胖，眼疾，退行性脊髓病","中等","中等","家庭饲养","长背短腿易脊椎问题，需控制体重和避免跳跃，国内热门犬种"
"哈士奇","哈士奇，西伯利亚雪橇犬，二哈","雪橇犬","俄罗斯西伯利亚","中型犬","16","27","","","51","60","双层毛","12","15","活泼，固执，友善，独立，爱拆家，逃跑高手","运动量大需补充能量，注意体重","眼疾(白内障，进行性视网膜萎缩)，髋关节发育不良，甲状腺问题，皮肤病","较强","极高","运动爱好者","精力旺盛易拆家，蓝眼常见，逃跑高手，国内热门犬种"
"阿拉斯加雪橇犬","阿拉斯加，雪橇犬","雪橇犬","美国阿拉斯加","大型犬","34","45","","","58","66","长毛，双层毛","10","14","温顺，忠诚，独立，友善，憨厚","大型犬营养，注意体重","髋关节发育不良，眼疾(白内障)，甲状腺问题，胃扭转，皮肤病，软骨发育不良","中等","高","运动爱好者，有空间家庭","体型最大的雪橇犬，耐寒怕热，与哈士奇区别在体型和眼睛"
"萨摩耶","萨摩耶犬，萨摩，微笑天使","雪橇犬","俄罗斯西伯利亚","大型犬","16","30","","","48","60","长毛，双层毛","12","14","温顺，友善，活泼，聪明，粘人","注意体重，均衡饮食","髋关节发育不良，眼疾(白内障)，心脏病，糖尿病，皮肤病，甲状腺问题","中等","高","家庭饲养","标志性""微笑""表情，白色长毛需经常梳理，友善温顺"
"金毛寻回犬","金毛，黄金猎犬","猎犬/运动犬","英国苏格兰","大型犬","25","34","","","56","61","长毛，双层毛","10","12","温顺，友善，聪明，忠诚，耐心，对孩子友善","易肥胖需控制饮食，注意蛋白质摄入","髋关节发育不良，癌症(高发)，皮肤病，肥胖，心脏病，眼疾","中等","高","家庭饲养，首次养犬者，导盲犬","性格温顺对人友善，癌症高发需注意，国内热门家庭犬"
"拉布拉多","拉布拉多寻回犬，拉拉","猎犬/运动犬","加拿大纽芬兰","大型犬","25","36","","","54","62","短毛，双层毛","10","14","温顺，友善，聪明，活泼，服从，对孩子友善","极易肥胖需严格控制饮食，注意关节营养","髋关节发育不良，肥胖，耳部感染，眼疾，肘关节发育不良，甲状腺问题","中等","高","家庭饲养，首次养犬者，导盲犬，工作犬","最受欢迎犬种，易肥胖需控制饮食，聪明易训练"
"英国可卡","英国可卡犬，可卡","猎犬/运动犬","英国","中型犬","13","16","","","38","43","长毛，双层毛","12","15","温顺，友善，活泼，聪明，服从","注意体重，均衡饮食","耳部感染(长耳)，眼疾，肾病，心脏病，皮肤病","中等","中-高","家庭饲养","长耳需经常清洁干燥，温顺友善，家庭犬"
"美国可卡","美国可卡犬","猎犬/运动犬","美国","中型犬","10","14","","","34","39","长毛，双层毛","10","14","温顺，活泼，友善，聪明，甜美","注意体重，均衡饮食","耳部感染，眼疾，癫痫，心脏病，皮肤病，髋关节发育不良","中等","中等","家庭饲养","毛发需经常修剪，长耳需清洁，比英国可卡体型小"
"英国跳猎犬","英国跳猎犬，史宾格犬","猎犬/运动犬","英国","中型犬","18","25","","","46","51","长毛，双层毛","12","14","活泼，友善，聪明，服从，精力旺盛","运动量大需补充能量，注意体重","耳部感染，眼疾，髋关节发育不良，皮肤病，肘关节发育不良","中等","高","家庭饲养，运动爱好者","优秀猎犬，精力旺盛需大量运动，长耳需清洁"
"比格犬","比格，小猎兔犬","猎犬/运动犬","英国","小型犬","8","14","","","33","41","短毛，双层毛","12","15","活泼，友善，好奇，固执，爱叫，嗅觉敏锐","极易肥胖需严格控制饮食","肥胖，耳部感染，眼疾，癫痫，甲状腺问题，椎间盘疾病","中等","高","家庭饲养(需耐心)","嗅觉敏锐，爱吠叫，实验犬常用，需耐心训练"
"巴吉度","巴吉度猎犬，短腿猎犬","猎犬/运动犬","法国","中型犬","20","29","","","28","38","短毛，双层毛","10","12","温顺，友善，懒散，固执，忠诚","极易肥胖需严格控制饮食","肥胖，椎间盘疾病(长背)，耳部感染，眼疾，皮肤病，胀气","中等","中等","家庭饲养，老年人","长耳短腿为特征，易肥胖，长耳需清洁"
"惠比特","惠比特犬，小灵缇","猎犬/运动犬","英国","中型犬","9","19","","","44","57","短毛","12","15","温顺，敏捷，安静，友善，粘人","注意体重，少食多餐","眼疾，心脏病，皮肤病(薄皮)，麻醉敏感，关节问题","中等","高(短时冲刺)","家庭饲养，运动爱好者","视觉猎犬，短距离冲刺快，性格温顺安静"
"灵缇","灵缇，格雷伊猎犬，格力犬","猎犬/运动犬","中东，英国","大型犬","27","40","","","68","76","短毛","10","14","温顺，安静，敏捷，独立，懒散","注意体重，少食多餐","骨肉瘤，心脏病，眼疾，麻醉敏感，皮肤病，牙疾","中等","中等(短时冲刺)","家庭饲养，老年人","速度最快犬种(可达70km/h)，退役赛犬多为领养，性格安静"
"阿富汗猎犬","阿富汗猎犬，阿富汗","猎犬/运动犬","阿富汗","大型犬","23","27","","","64","74","长毛","12","14","独立，高傲，敏捷，温顺，敏感","注意毛发营养，补充Omega脂肪酸","眼疾(白内障)，心脏病，麻醉敏感，皮肤病，甲状腺问题","中等","高","有经验犬主","长毛飘逸为特征需经常梳理，性格独立高傲，视觉猎犬"
"秋田犬","秋田犬，日本秋田","猎犬/运动犬","日本","大型犬","32","45","","","61","67","长毛，双层毛","10","15","忠诚，勇敢，独立，警觉，固执，领地意识强","大型犬营养，注意体重","髋关节发育不良，甲状腺问题，眼疾，肾病，胃扭转，皮肤病，免疫系统疾病","中等","中-高","有经验犬主","《忠犬八公》犬种，忠诚护主，对其他犬只攻击性强需社会化"
"柴犬","柴犬，日本柴犬，柴","猎犬/运动犬","日本","中型犬","8","11","","","35","43","双层毛","12","16","独立，警觉，忠诚，固执，爱干净，像猫","注意饮食过敏，均衡饮食","过敏(皮肤，食物)，眼疾(青光眼，白内障)，膝关节脱位，髋关节发育不良，皮肤病","中等","中-高","有经验犬主","独立固执难训练，""柴犬笑容""知名，爱干净像猫，国内热门犬种"
"法国斗牛犬","法斗，法国斗牛犬","斗牛犬/獒犬","法国","小型犬","8","14","","","24","28","短毛","10","12","温顺，活泼，粘人，爱玩，适应力强","严格控制饮食易肥胖，注意补钙","呼吸困难(短鼻)，皮肤病(褶皱)，椎间盘疾病，眼疾，难产，心脏病","较低(呼吸问题)","低-中","公寓家庭，老年人","短鼻犬怕热，常需剖腹产，国内热门犬种，蝙蝠耳为特征"
"英国斗牛犬","英斗，英国斗牛犬，老虎狗","斗牛犬/獒犬","英国","中型犬","18","25","","","31","40","短毛","8","10","温顺，勇敢，固执，友善，憨厚","严格控制饮食易肥胖，注意营养均衡","呼吸困难(短鼻)，皮肤病(褶皱)，髋关节发育不良，心脏病，难产，眼疾，膝关节问题","较低(健康问题多)","低","公寓家庭，老年人","健康问题较多，寿命较短，短鼻怕热，褶皱需清洁"
"美国斗牛犬","美国斗牛犬","斗牛犬/獒犬","美国","大型犬","27","54","","","52","70","短毛","10","15","勇敢，忠诚，自信，精力旺盛，活跃","大型犬营养，注意体重","髋关节发育不良，眼疾，皮肤病，心脏病，膝关节问题","中等","高","有经验犬主","体型比英斗大，运动能力强，需严格训练社会化"
"高加索牧羊犬","高加索犬，高加索牧羊犬","斗牛犬/獒犬","俄罗斯高加索地区","巨型犬","45","70","","","64","75","长毛，双层毛","10","12","凶猛，忠诚，独立，领地意识强，护主","大型犬营养，注意钙磷平衡","髋关节发育不良，心脏病，肥胖，耳聋，眼疾","中等","高","有经验犬主，护卫犬","体型巨大，性格凶猛需专业训练，优秀护卫犬"
"圣伯纳","圣伯纳犬，圣伯纳德犬","斗牛犬/獒犬","瑞士","巨型犬","64","120","","","65","90","长毛，短毛，双层毛","8","10","温顺，友善，忠诚，冷静，对孩子友善","大型犬营养，注意体重，幼年控制生长","髋关节发育不良，心脏病，眼疾，胃扭转，皮肤病，肘关节发育不良","较低(巨型犬)","中等","有空间家庭","巨型犬，寿命较短，雪山救援犬，温和友善"
"大丹犬","大丹犬，德国獒，大丹狗","斗牛犬/獒犬","德国","巨型犬","54","90","","","71","86","短毛","7","10","温顺，友善，忠诚，冷静，像""温和的巨人""","大型犬营养，注意幼年生长，控制钙摄入","胃扭转(高发)，心脏病(扩张型心肌病)，髋关节发育不良，骨癌，眼疾","较低(巨型犬)","中等","有空间家庭","体型最高的犬种之一，寿命较短，性格温顺"
"马士提夫","马士提夫獒犬，英国獒犬","斗牛犬/獒犬","英国","巨型犬","73","100","","","70","76","短毛","8","10","温顺，忠诚，勇敢，冷静，护主","大型犬营养，注意体重","髋关节发育不良，心脏病，胃扭转，眼疾，肥胖，甲状腺问题","较低(巨型犬)","中等","有经验犬主，有空间家庭","体型最大的犬种之一，性格温顺，寿命较短"
"纽芬兰犬","纽芬兰犬，纽芬兰","斗牛犬/獒犬","加拿大纽芬兰","巨型犬","45","68","","","64","71","长毛，双层毛","9","10","温顺，忠诚，友善，冷静，对孩子友善","大型犬营养，注意体重","髋关节发育不良，心脏病，眼疾，胃扭转，耳部感染，肘关节发育不良","较低(巨型犬)","中等","有空间家庭","水上救援犬，善游泳，温和友善，体型巨大"
"大白熊","大白熊，庇里牛斯山犬","其他大型犬","法国，西班牙庇里牛斯山","巨型犬","36","54","","","65","82","长毛，双层毛","10","12","温顺，忠诚，独立，警觉，护主","大型犬营养，注意体重","髋关节发育不良，眼疾，心脏病，胃扭转，皮肤病，肘关节发育不良","中等","中等","有空间家庭，护卫犬","白色长毛为特征，护卫本能强，独立性强"
"可蒙犬","可蒙犬，可蒙多犬，拖把狗","其他大型犬","匈牙利","大型犬","36","61","","","60","80","长毛(绳索状)","10","12","忠诚，独立，警觉，冷静，护主","大型犬营养，注意体重","髋关节发育不良，眼疾，皮肤病，胃扭转，耳部感染","中等","中等","有经验犬主，护卫犬","标志性绳索状长毛如""拖把""，护卫犬，毛发打理较少"
