"medicine_name","english_name","category","active_ingredient","indication","mechanism","dosage","administration","suitable_for","contraindication","caution","is_rx","notes"
"蒙脱石散","Smectite / Diosmectite","消化系统","蒙脱石","急性腹泻、软便的物理止泻","吸附肠道水分毒素并在黏膜形成保护层","犬：10kg以上1-1.5g/次；5-10kg 0.5-1g/次；猫：0.5-1g/次；每日2-3次","口服","猫狗通用","肠梗阻及便秘禁用；细菌性肠炎需配合抗生素","空腹服用；与其它药物间隔1-2小时；连用不超过3天","否","仅缓解症状不治本；需同步补水防脱水"
"益生菌(布拉迪酵母)","Saccharomyces boulardii","消化系统","布拉迪酵母菌","急性腹泻、抗生素相关性腹泻、肠道菌群失调","益生菌竞争性抑制致病菌并修复肠黏膜","犬猫5-20亿CFU/日；急性期加倍","口服","猫狗通用","免疫严重缺陷者慎用(真菌感染风险)","与抗生素间隔2小时以上；37℃以下温水冲服","否","耐胃酸可定植；便血时可选用"
"白陶土","Kaolin","消化系统","高岭土","急性腹泻、毒素吸附","吸附水分与毒素并保护肠黏膜","犬0.5-2g/kg；猫0.5-1g/次；每日2-3次","口服","猫狗通用","肠梗阻便秘禁用；长期使用影响营养吸收","与其它药物间隔2小时","否","温和止泻；可配合益生菌"
"甲氧氯普胺","Metoclopramide","消化系统","甲氧氯普胺","止吐、促进胃排空","阻断多巴胺D2受体并增强胃肠蠕动","犬0.2-0.5mg/kg；猫0.2-0.4mg/kg；每日2-3次","口服或皮下注射","猫狗通用","胃肠道梗阻禁用(可致穿孔)；癫痫禁用","猫易致兴奋等神经症状；短期使用","是","止吐但禁用于梗阻"
"奥美拉唑","Omeprazole","消化系统","奥美拉唑","胃溃疡、反流性食管炎、胃酸过多","质子泵抑制剂抑制胃酸分泌","犬0.5-1mg/kg；猫0.5-1mg/kg；每日1次","口服","猫狗通用","对本品过敏禁用；肝功能不全慎用","长期使用影响B12及镁吸收","是","抑酸强效；需兽医诊断后使用"
"硫糖铝","Sucralfate","消化系统","硫糖铝","胃及十二指肠溃疡","与溃疡面蛋白结合形成保护膜","犬0.5-1g/次；猫0.25-0.5g/次；每日2-3次","口服(空腹)","猫狗通用","肾功能不全慎用(铝蓄积)","与其它药物间隔2小时(影响吸收)","是","常与奥美拉唑配合治疗胃溃疡"
"阿莫西林克拉维酸钾","Amoxicillin-Clavulanate","抗菌消炎","阿莫西林+克拉维酸","皮肤、呼吸道、泌尿道、口腔感染","β-内酰胺类抑制细胞壁合成；克拉维酸保护其免遭酶解","犬12.5-25mg/kg；猫12.5-25mg/kg；每日2次","口服","猫狗通用","青霉素过敏禁用；肝肾功能不全慎用","按疗程使用；腹泻为常见不良反应","是","广谱抗生素；商品名可立克等"
"头孢氨苄","Cephalexin","抗菌消炎","头孢氨苄","皮肤、软组织、泌尿道、骨骼感染","抑制细菌细胞壁合成(第一代头孢)","犬15-30mg/kg；猫15-30mg/kg；每日2次","口服","猫狗通用","头孢类过敏禁用；肾功能不全调整剂量","按疗程使用；常见胃肠道反应","是","第一代头孢；革兰阳性菌强"
"甲硝唑","Metronidazole","抗菌消炎","甲硝唑","厌氧菌感染、贾第鞭毛虫、滴虫、肠道感染","损伤虫体DNA并抑制厌氧菌代谢","犬10-25mg/kg；猫10-25mg/kg；每日1-2次","口服","猫狗通用","妊娠早期慎用；肝功能不全慎用","猫易致神经症状(共济失调)；不可与酒精同用","是","抗厌氧菌及原虫首选"
"恩诺沙星","Enrofloxacin","抗菌消炎","恩诺沙星","革兰阴性菌感染、泌尿道、皮肤、呼吸道","抑制细菌DNA旋转酶","犬5-10mg/kg；猫5mg/kg；每日1次","口服","猫狗通用","快速生长期幼犬及幼猫慎用(软骨损伤)；猫高剂量致视网膜损伤","猫禁用高剂量；保证饮水","是","氟喹诺酮类；泌尿生殖感染常用"
"多西环素","Doxycycline","抗菌消炎","多西环素","立克次体、支原体、衣原体、钩端螺旋体、呼吸道感染","抑制细菌30S核糖体亚基蛋白质合成","犬5-10mg/kg；猫5-10mg/kg；每日1-2次","口服","猫狗通用","妊娠及幼龄慎用(牙齿着色)；肝功能不全慎用","需大量水送服避免食管溃疡；猫尤其注意","是","衣原体及蜱传病首选"
"红霉素眼膏","Erythromycin Eye Ointment","抗菌消炎","红霉素","结膜炎、角膜炎、眼睑缘炎(浅表细菌感染)","抑制细菌50S核糖体蛋白质合成","涂眼：每日2-3次","外用(涂眼)","猫狗通用","对本品过敏禁用","避免管口接触眼睛；开封后1个月用完","否","人用药；宠物眼表感染常备"
"酮康唑","Ketoconazole","皮肤","酮康唑","皮肤真菌感染(癣)、马拉色菌","抑制真菌细胞膜麦角固醇合成","犬5-10mg/kg；猫5-10mg/kg；每日1-2次","口服","猫狗通用","肝功能不全禁用；妊娠禁用","需监测肝功能；与多种药物相互作用","是","广谱抗真菌；肝毒性需关注"
"特比萘芬","Terbinafine","皮肤","盐酸特比萘芬","皮肤癣菌感染(犬猫癣)","抑制真菌角鲨烯环氧化酶","犬20-30mg/kg；猫20-30mg/kg；每日1次","口服","猫狗通用","肝功能不全慎用","需持续4-8周；监测肝酶","是","皮肤癣菌效果好于酮康唑"
"伊曲康唑","Itraconazole","皮肤","伊曲康唑","深部真菌感染、芽生菌、组织胞浆菌、严重癣","抑制真菌细胞膜麦角固醇合成","犬5-10mg/kg；猫5-10mg/kg；每日1次","口服","猫狗通用","心力衰竭禁用；肝功能不全慎用","监测肝功能；猫食欲下降需停药","是","深部真菌感染主力"
"吡硫翁锌","Zinc Pyrithione","皮肤","吡硫翁锌","马拉色菌皮炎、脂溢性皮炎","抑制真菌及细菌生长","按产品说明每周2-3次洗浴","外用(洗浴)","猫狗通用","猫舔食易致锌中毒需冲洗干净并防舔","避免接触眼口；皮肤破损慎用","否","常作药用香波成分"
"氯己定","Chlorhexidine","皮肤","葡萄糖酸氯己定","细菌性皮炎、马拉色菌、术后皮肤消毒","破坏微生物细胞膜","2%-4%洗浴每周2-3次；或0.05%冲洗","外用(洗浴或冲洗)","猫狗通用","避免接触眼睛及鼓膜破损耳道","猫需冲洗干净防舔食","否","广谱消毒抗菌香波"
"泼尼松龙","Prednisolone","皮肤","泼尼松龙","过敏性皮炎、自身免疫病、炎症、休克","糖皮质激素抗炎抗免疫","犬0.5-1mg/kg；猫1-2mg/kg；每日1-2次渐减量","口服","猫狗通用","真菌感染禁用；糖尿病禁用；妊娠慎用","不可骤停需逐步减量；长期用致库兴","是","糖皮质激素；需兽医处方"
"妥布霉素眼药水","Tobramycin Eye Drops","眼耳","妥布霉素","细菌性结膜炎、角膜溃疡继发感染","氨基糖苷类抑制细菌蛋白质合成","滴眼：每日3-4次每次1-2滴","外用(滴眼)","猫狗通用","氨基糖苷过敏禁用；角膜深层溃疡慎用","避免管口接触眼睛；开封后1个月用完","否","广谱抗菌滴眼液"
"洗耳液","Ear Cleanser","眼耳","多元醇、弱酸、表面活性剂等","日常耳道清洁、耵聍软化、耳螨辅助","物理清洁及软化耵聍","每周1-2次滴入耳道按摩后让宠物甩出","外用(滴耳)","猫狗通用","鼓膜破损禁用(中耳炎风险)；耳道疼痛红肿需就医","猫狗专用款；勿用酒精类","否","日常护理预防耳病"
"硼酸滴耳液","Boric Acid Ear Drops","眼耳","硼酸","轻度外耳道炎、耳道酸化抑菌","弱酸环境抑制细菌真菌生长","每日2-3次滴耳","外用(滴耳)","猫狗通用","鼓膜破损禁用；大面积破损皮肤慎用","猫需防舔食","否","温和抑菌；常配合洗耳使用"
"新霉素眼药水","Neomycin Eye Drops","眼耳","硫酸新霉素(常含地塞米松)","细菌性结膜炎及过敏性炎症","氨基糖苷抑制细菌蛋白合成；激素抗炎","滴眼：每日3-4次每次1-2滴","外用(滴眼)","猫狗通用","角膜溃疡禁用激素成分；真菌病毒感染禁用","含激素款不可长期使用","否","复合制剂；溃疡者禁用激素款"
"氧氟沙星眼药水","Ofloxacin Eye Drops","眼耳","氧氟沙星","细菌性结膜炎、角膜溃疡感染","氟喹诺酮抑制细菌DNA旋转酶","滴眼：每日3-4次每次1-2滴","外用(滴眼)","猫狗通用","对喹诺酮过敏禁用；幼龄慎用","避免管口接触眼睛","否","广谱抗菌滴眼液"
"复合维生素","Multivitamin","营养补充","维生素A/B/C/D/E及矿物质","维生素缺乏、病后恢复、营养补充","补充必需维生素参与代谢","按产品说明每日1次","口服","猫狗通用","避免与同类补充剂叠加致维生素A/D过量","按体重给量；过量可中毒","否","幼宠孕宠及病后恢复期适用"
"钙片","Calcium Tablet","营养补充","碳酸钙或柠檬酸钙+维生素D","补钙、孕产期及生长期骨骼发育","补充钙离子促进骨矿化","按体重每日1次(具体见产品)","口服","猫狗通用","高钙血症、肾结石慎用；勿与四环素同服","需配合维生素D促进吸收","否","大型犬幼年期及孕母犬常用"
"鱼油","Fish Oil","营养补充","Omega-3脂肪酸(EPA/DHA)","美毛护肤、抗炎、护心关节","Omega-3降低炎症介质生成","犬猫按体重每日1次(EPA+DHA约50-100mg/kg)","口服","猫狗通用","出血性疾病慎用；术前停用","选择纯化鱼油避免重金属","否","深海鱼油效果佳；需持续4-8周"
"卵磷脂","Lecithin","营养补充","卵磷脂(大豆或蛋黄来源)","美毛护肤、护肝、改善皮肤","构成细胞膜磷脂、乳化脂肪","按产品说明每日1次","口服","猫狗通用","对大豆/蛋过敏者慎用","需持续食用见效","否","美毛类补充剂常配鱼油"
"益生菌(营养补充)","Probiotic Supplement","营养补充","双歧杆菌、乳酸菌等活性菌","调节肠道菌群、改善软便、增强免疫","益生菌定植肠道抑制有害菌","每日5-20亿CFU(按体重)","口服","猫狗通用","免疫严重缺陷慎用","与抗生素间隔2小时；冷藏保存","否","日常保健与腹泻调理"
"微量元素片","Trace Elements Tablet","营养补充","锌、铁、铜、锰、硒等","异食癖、毛发干枯、免疫力低下","补充必需微量元素参与酶代谢","按产品说明每日1次","口服","猫狗通用","勿过量致中毒(尤其硒铜铁)","按体重给量","否","异食癖宠物适用"
"补血肝精","Blood-building Liver Supplement","营养补充","铁、B族维生素、肝提取物","贫血、术后失血、产后恢复","补充铁及B12促进造血","按体重每日1-2次","口服","猫狗通用","铁过量中毒需控量；血色病禁用","按疗程使用；餐后服减少胃肠刺激","否","猫贫血及术后常备"
"牛磺酸","Taurine","营养补充","牛磺酸","猫必需氨基酸缺乏症、护心护眼","参与视网膜及心肌功能","猫250-500mg/日；犬按需","口服","猫(狗可自身合成)","无明显禁忌；过量经尿排出","猫必须从食物获取","否","猫必需氨基酸；犬能自身合成"
"双氧水","Hydrogen Peroxide","急救","3%过氧化氢","伤口消毒、催吐(误食毒物)","氧化分解并刺激胃黏膜催吐","催吐：犬1-2ml/kg(3%)；猫不推荐催吐","外用或口服(催吐)","猫狗通用","猫催吐风险高需兽医操作；已吞腐蚀物及昏迷禁催吐","催吐需兽医指导；伤口消毒浓度3%","否","急救催吐常备；猫慎用"
"碘伏","Iodophor / Povidone Iodine","急救","聚维酮碘","皮肤黏膜伤口消毒","释放游离碘破坏微生物蛋白","稀释后冲洗或直接涂抹每日2-3次","外用","猫狗通用","甲状腺疾病慎用；猫不宜大面积长期使用","避免接触眼睛；深部伤口需就医","否","广谱消毒；温和刺激性小"
"生理盐水","Normal Saline","急救","0.9%氯化钠","伤口冲洗、眼鼻冲洗、补液稀释","等渗液冲洗清洁无刺激","冲洗伤口或眼部适量","外用","猫狗通用","开封后24小时用完(易污染)","注射用需兽医操作","否","最温和冲洗液；常备首选"
"止血粉","Styptic Powder","急救","铁盐或明胶粉","指甲剪出血、小伤口止血","收敛及促进凝血","局部按压涂抹","外用","猫狗通用","深大伤口及动脉出血无效需就医","避免吸入；不可内服","否","剪指甲常备；小伤口止血"
"退热贴","Cooling Patch","急救","水凝胶、薄荷等","中暑及发热物理降温","物理吸热降温","贴于腹股沟或脚垫","外用","猫狗通用","皮肤破损慎用；猫慎用薄荷(毒性)","中暑需立即就医不可仅靠降温贴","否","应急辅助；中暑需紧急送医"
"地塞米松","Dexamethasone","其他","地塞米松","过敏性休克、严重炎症、免疫性疾病、脑水肿","长效糖皮质激素抗炎抗免疫抗休克","犬0.1-0.5mg/kg；猫0.1-0.5mg/kg；急救可静注","口服或注射","猫狗通用","真菌感染禁用；糖尿病禁用；妊娠禁用","不可骤停；长期用致肾上腺抑制","是","急救抗休克；需兽医处方"
"苯海拉明","Diphenhydramine","其他","盐酸苯海拉明","过敏反应、疫苗反应、晕车","H1受体拮抗剂抗组胺抗过敏","犬2-4mg/kg；猫2-4mg/kg；每日2-3次","口服","猫狗通用","青光眼、前列腺增生慎用","常见嗜睡；猫偶见兴奋","否","轻中度过敏常备；急救抗组胺"
"马罗匹坦","Maropitant","其他","苹果酸马罗匹坦","急慢性呕吐、晕动症、术后恶心","NK1受体拮抗剂阻断呕吐反射","犬：2-4月龄1mg/kg皮下；≥4月龄2mg/kg皮下；猫1mg/kg皮下；每日1次连用5日","皮下注射或口服","猫狗通用","肝脏病慎用；皮下注射冷藏可减痛","猫剂量需精确；不可超5日连续注射","是","商品名赛瑞宁；强效止吐处方药"
"美洛昔康","Meloxicam","其他","美洛昔康","骨关节炎疼痛、术后疼痛消炎","非甾体抗炎药抑制COX-2减少前列腺素","犬：初始0.2mg/kg后0.1mg/kg每日；猫：0.2mg/kg皮下单次后0.05mg/kg短期口服","口服或皮下注射","猫狗通用","脱水低血压胃肠病凝血障碍禁用；猫肾衰风险高禁长期用","猫须精确剂量且限短期；肝肾不全慎用","是","商品名美洛昔康；止痛消炎处方药"
"卡洛芬","Carprofen","其他","卡洛芬","骨关节炎、术后疼痛消炎","非甾体抗炎药抑制COX-2","犬2.2mg/kg每日2次或4.4mg/kg每日1次","口服","狗(猫不推荐)","胃肠溃疡、肝肾不全、出血性疾病禁用","需定期监测肝肾；不可与其他NSAID同用","是","犬常用NSAID；猫不推荐使用"
"阿米曲巴(双甲脒)","Amitraz","皮肤","双甲脒","蠕形螨、疥螨、蜱感染","抑制螨虫神经系统","0.025%-0.05%药浴或喷洒；每7-14天一次","外用(药浴/喷洒)","狗(猫慎用)","猫高度敏感易中毒；幼龄及病弱犬慎用","猫禁用或严格遵兽医；操作需戴手套通风","是","猫毒性大谨慎使用；犬螨虫药浴"
"恩诺沙星眼药水","Ofloxacin/Enrofloxacin Eye Drops","眼耳","恩诺沙星或氧氟沙星","细菌性结膜炎、角膜感染","氟喹诺酮抑制DNA旋转酶","滴眼每日3-4次每次1-2滴","外用(滴眼)","猫狗通用","喹诺酮过敏禁用；幼龄慎用","避免管口接触眼；开封后1个月用完","否","广谱抗菌滴眼液"
